index,name,climate-risk-region,farming-system,sub-system,farm-vulnerability-component,weather-event,weather-event-season-or-period,2nd-weather-event,2nd-weather-event-season-or-period,description-of-the-measure,implementation,ghg-emissions,air-quality,soil,water,biodiversity,animal-welfare,economic,social,technical-feasibility,comments-on-sustainability,alt-language,alt-name,alt-sub-system,alt-weather-event-season-or-period,alt-2nd-weather-event-season-or-period,alt-description-of-the-measure,alt-comments-on-sustainability
,Do not modify the line above.

,Name of the measure,,Farming system,,Farm vulnerability component,Weather event,,Second weather event,,Description of the measure,Implementation,Sustainability components,,,,,,,,,,,Nombre de la medida,Sub sistema,,,Descripción de la medida,Comentarios sobre la sostenibilidad
,,Climare Risk region,Farming system,Sub-system,,Weather event,Season or period,Weather event,Season or period,,,GHG emissions,Air quality,Soil,Water,Biodiversity,Animal welfare,Economic,Social,Technical feasibility,Comments on sustainability,2nd langage,,,Estación o periodo,Estación o periodo,Description of the measure
1,Crop rotation at plot level ,4,1,"Cereals, legumes, oilseeds, vegetables",11,1,Spring,3,Spring and Summer,"New or enhanced rotations adapted to expected trends. Plot level: 3 -5 dif. crops (5 ys) incl: cereals, oilseeds, legumes",2,1,1,1,1,1,2,5,2,1,"Better water performance of soils enriched by long and diversified rotation. Reduces the need of inputs (fertilizers and phytosanitaires), then it's a better economic option. May need advisory for new crops. ",3,Rotación de cultivos a nivel de parcela,"Cereales, oleaginosas, leguminosas, verduras.",Primavera,Primavera,"Rotaciones mejordas adaptadas a tendencias. Parcela: 3 -5 cultivos dif.(5 ys) incl: cereales, oleaginosas y legumbres","Mejora la estructura del suelo y por tanto su capacidad de retención de agua, gracias a las rotaciones. Se reduce la necesidad de inputs (Fertilizantes y fitosanitarios) y por tanto es una opción más económica, además mejora la productividad al evitar el agotamiento del suelo. Podría ser necesaria la asesoría técnica para la incorporación de nuevos cultivos en las rotaciones."
2,Crops diversification at farm level (3-5 crops),4,1,"Cereals, legumes, oilseeds, vegetables",11,1,Spring,3,Spring and Summer,"3-5 main crops at farm level during 1 year, avoid monoculture and decrease economic risks.",1,2,1,1,1,1,2,5,2,1," It could suppose better incomes for the farmer, low economic risk with a higher diversification. Better risk diversification. May need advisory for new crops. Mixt systems are more resilient to plagues and extreme weather events as drought and high temperatures",3,Diversificación de cultivos a nivel de explotación (3-5 ),"Cereales, oleaginosas, leguminosas, verduras.",Primavera,Primavera,"3-5 cultivos principales en la explotación durante el año, evitar monocultivos y riesgos económicos asociados.","Podría suponer mejores ingresos para los agricultores, menores riesgos económicos al diversificar el riesgo. Aunque en algunos casos podría ser necesaria la asesoría técnica para la introducción de nuevos cultivos. Los sitemas mixtos son más resilientes a las plagas y a las condiciones climáticas extremas como sequías o altas temperaturas. "
3,Crops diversification > 5 crops at farm level,4,1,"Cereals, legumes, oilseeds, vegetables",11,1,Spring,3,Spring and Summer,">5 main crops, contrasting climatic characteristics or/and complementary: annual or perennial, winter or spring…",2,2,1,1,1,1,2,5,2,1," The most diversification, the best. It could suppose better incomes for the farmer, low economic risk with a higher diversification. Better risk diversification. May need advisory for new crops. Could suppose more difficulties to acess to new markets. Mixt systems are more resilient to plagues and extreme weather events as drought and high temperatures",3,Diversificación de cultivos a nivel de explotación >5 cultivos,"Cereales, oleaginosas, leguminosas, verduras.",Primavera,Primavera,">5 cultivos, contrastando características climáticas y/o complementarias: anuales o perennes, de invierno o primavera ","Cuanto mayor sea la diversificación, mejor.Podría suponer mejores ingresos para los agricultores, menores riesgos económicos al diversificar el riesgo. Aunque en algunos casos podría ser necesaria la asesoría técnica para la introducción de nuevos cultivos. Los sitemas mixtos son más resilientes a las plagas y a las condiciones climáticas extremas como sequías o altas temperaturas. "
4,2 crops harvested on the same plot in one year,4,1,"Cereals, legumes, oilseeds, vegetables",11,1,Spring,3,Spring and Summer,"Crops associated improve the yields, ex. cereal + legume as fodder ",1,1,1,1,1,1,2,5,2,1,"Two crops associated in the same plot improve yields for fodder, improve the soil strcuture and the water content. At long term improve economic incomes.",3,2 cultivos cosechados en la misma parcela en un año agrario ,"Cereales, oleaginosas, leguminosas",Primavera,"Primavera, verano","Asociación de cultivos para mejora de rendimientos, ej. Cereal + legumbre para forraje","Dos cultivos asociados en la misma parcela mejoran los rendimientos de forraje, mejora la estrcutura del suelo y por tanto la disponibilidad de agua. A largo plazo mejoran los ingresos económicos"
5,Balance between 3 periods of sowing for the main crops,4,1,Cereals,11,8,,,,Diversification of the number of crops cultivated depending on the growing season,3,2,1,1,1,1,2,5,2,1," It could suppose better incomes for the farmer, low economic risk with a higher diversification based on the potential climate stress impacts at farm level. Better risk diversification. May need advisory for new crops. Mixt systems are more resilient to plagues and extreme weather events as drought and high temperatures",3,Balance entre 3 periodos de siembra para los principales cultivos,"Cereales, oleaginosas, leguminosas",Primavera,"Primavera, verano",Diversificar el nº de cultivos en función de las fases de crecimiento ,"Podría suponer mejores ingresos para los agricultores, menores riesgos económicos por una mayor diversificación basada en los  potenciales impactos esperados por eventos climáticos extremos a nivel de explotación. Supone una diversificación del riesgo. Podría ser necesaria asesoría técnica para los nuevos cultivos"
6,Adapt date of sowing & variety precocity,4,1,Cereals ,12,1,"Spring, autumn",3,Spring,"If rainy autumns, advance date of sowing & long cyvle varieties. If dry autumns, sow a short cycle variety before spring",1,2,2,1,1,1,2,5,3,1,"Ensure yields and economic profits avoiding shrivelling (heat waves of late spring) and problems of low nascencia. Thought it may be necessary to invest in seeds and difficults to plan costs and sowns, share resources in cooperatives or farmers unions could be a solution at social level. ",3,Adaptar la fecha de siembra y precocidad de las variedades ,Cereales ,Primavera,Primavera,"Otoños lluviosos: variedad ciclo largo y siembra adelantada. Si otoños secos, sembrar en primavera variedad ciclo corto","Asegurar rendimientos y beneficios económicos evitando el asurado (olas de calor en primavera) así como problemas de baja nascencia. Aunque sería necesario la inversión en semillas y difícil planificar los costes y periodos de siembra, se recomienda compartir recursos en cooperativas o sindicatos, lo que podría ser una solución a nivel socioeconómico"
7,Varieties adapted to main climate stress,4,1,"Cereals, legumes, oilseeds, vegetables",12,8,,,,"Use of varieties adatped to drought, high temperatures, not need of vernalization",1,2,2,1,1,1,2,4,3,3,"Farmers can't acess to new varieties, economic invests and technical assessment are needed.",3,Variedades adaptadas a los principales estreses climáticos,Todos,,,Uso de variedades adaptadas a la sequía y a las altas temperaturas ,Los agricultores no siempre pueden acceder a las nuevas variedades. Son necesarias la asistencia técnica e inversiones económicas
