year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-oat,winter-rapeseed,bean,sugar-beet,potatoes,linseed-oild,flax-fibre,apple,pear,tomatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,7.9,6.9,6.5,11.1,5.5,3.0,4.0,67.7,44.4,1.1,1.2,61.3,30.1,240.3
2001,8.0,7.2,5.9,11.4,5.0,3.6,3.2,58.7,41.2,0.7,0.5,38.3,14.8,259.1
2002,8.3,7.5,6.6,11.2,5.5,3.6,4.7,67.7,47.1,0.9,1.2,40.5,27.2,260.4
2003,8.6,6.6,6.4,10.5,6.0,3.6,4.8,70.7,42.5,0.7,1.2,38.0,26.9,416.7
2004,9.0,7.9,4.6,12.2,5.5,4.1,4.8,70.8,48.4,0.6,1.1,42.9,33.9,390.3
2005,8.3,7.5,6.5,11.7,5.1,4.3,3.1,70.0,42.8,0.5,1.0,36.5,29.4,414.5
2006,8.3,7.5,6.4,10.2,5.0,3.5,3.6,68.3,38.5,0.7,1.1,41.6,34.0,459.0
2007,7.9,7.7,5.8,13.1,4.8,3.7,6.3,69.5,46.9,0.7,1.0,42.1,35.4,451.5
2008,8.8,6.0,6.7,11.9,6.0,3.8,5.0,73.3,46.1,0.7,1.0,41.4,21.0,481.3
2009,9.5,8.4,7.3,12.1,6.2,4.3,8.0,82.7,44.7,0.7,1.2,40.3,34.2,523.9
2010,8.8,9.1,6.6,11.9,5.1,4.0,4.3,75.3,42.3,0.6,5.8,44.5,37.4,473.3
2011,8.4,7.7,6.2,11.9,5.0,4.7,5.2,87.0,50.1,0.6,3.9,29.5,34.7,460.8
2012,8.5,7.8,6.9,10.2,5.6,3.9,4.7,88.3,45.4,0.8,6.1,31.0,27.5,483.0
2013,8.9,8.3,7.1,11.2,5.5,4.3,4.4,80.4,45.5,0.9,6.7,32.2,34.3,499.6
2014,9.4,8.5,9.1,10.5,7.0,4.8,4.5,81.8,54.0,0.7,6.3,44.8,41.1,498.6
2015,10.0,9.0,9.4,10.2,7.5,4.5,3.6,86.6,46.9,0.7,5.8,41.4,40.1,496.2
2016,6.8,6.2,5.3,9.2,4.5,3.4,4.6,72.4,38.2,0.6,5.8,36.7,34.2,506.9
2017,8.6,8.4,6.2,12.4,4.6,4.3,4.0,95.1,47.6,0.7,4.3,14.0,30.1,496.0
