year,spring-oat,sugar-beet,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,spring-field-bean,maize-for-grain,spring-barley,winter-barley,apple,rye,triticale,vineyards,potatoes
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000
2001
2002
2003
2004,,,,,,,,,,387.9
2005,48,602,74,50,36,31.8,94.7,47.4,62.1,,52.3,54.6,67.2,371.1
2006,48,608,76,61,39,28.3,89.8,48.6,66.4,382.1,61,59.8,71.4,323.1
2007,46,616,72,44,36,21.8,92.2,40.9,60.5,,54.4,60,93,355.9
2008,51,639,85,47,36,31.8,96,49,64.7,361.4,60.2,67.5,89.9,361.2
2009,52,678,79,58,44,43.2,102.5,49,68.3,251.4,61.6,68,70.6,414.6
2010,51,678,77,57,40,26.9,93.4,51.8,67.1,311.5,58,58.9,49.1,400.3
2011,38,776,75,47,32,18.2,94.8,44.1,60.6,302.1,51.2,56.5,74.3,442.7
2012,58,732,67,64,34,32.9,98.3,60.1,48.6,238.7,56.4,58.8,74.5,413.4
2013,52,702,84,63,40,35,85.5,53.4,68.4,338.8,60.9,71,58.9,376.3
2014,53,860,85,55,45,39.9,102,55.2,66.9,301.4,61.9,72.1,72,450.2
2015,43,712,81,50,38,31.4,83.4,48.6,72.1,300.3,59.5,65,65.6,356.2
2016,53,745,73,45,37,38.1,99.9,51.5,68.5,318.4,57.6,66.1,64.9,350.2
2017,50,883,75,55,34,39.7,106.5,55.9,68.5,92.1,58.1,68.5,59.6,440.5
