year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,657,566,-50,-167,71,7.8,3142,29,16.6,131
1988,635,547,-62,-239,58,8.2,3115,16,14.8,85
1989,883,588,146,-94,123,8.6,3387,44,17.3,111
1990,764,538,64,-132,127,9.1,3411,15,15.4,76
1991,575,647,-285,-397,32,8.3,3093,25,16.2,94
1992,792,541,92,-33,103,8.4,3293,21,16.4,100
1993,787,669,-132,-186,37,8.6,3326,26,16.1,100
1994,708,692,-193,-392,92,9.1,3445,37,17.0,97
1995,662,578,-81,-148,47,9.6,3580,42,16.9,73
1996,736,674,-195,-269,25,9.2,3488,39,17.6,85
1997,640,644,-217,-367,109,8.7,3367,19,15.5,88
1998,633,518,-40,-189,77,8.4,3222,10,15.4,91
1999,541,710,-412,-436,11,8.2,3153,16,15.3,105
2000,588,634,-256,-330,55,8.1,3131,17,15.7,103
2001,672,549,-21,-144,71,8.1,3177,16,15.0,95
2002,807,589,61,-168,150,9.5,3538,38,17.8,73
2003,577,584,-160,-239,38,8.4,3255,27,16.3,106
2004,740,590,-2,-174,70,9.7,3589,31,15.7,59
2005,766,609,3,-232,136,8.8,3468,45,18.1,100
2006,735,538,47,-137,103,8.0,3154,19,14.8,102
2007,517,554,-180,-345,91,8.0,3109,17,15.2,95
2008,648,536,-55,-152,42,8.2,3178,26,13.9,87
2009,702,561,-9,-166,87,8.4,3308,22,15.8,106
2010,662,557,-53,-199,68,7.8,3141,25,15.6,120
2011,756,534,83,-122,99,8.0,3087,20,14.7,89
2012,802,528,124,-68,119,7.9,3077,9,15.6,115
2013,732,532,46,-93,27,7.6,3075,21,15.3,110
2014,646,536,-40,-213,98,8.3,3201,12,14.2,110
2015,789,533,106,-97,112,7.6,2993,22,16.1,119
2016,793,588,52,-130,118,8.7,3331,40,16.5,99
2016
2017,763,572,29,-203,177,10.4,3834,41,17.8,56
2018,713,600,-56,-216,155,10.5,3897,54,17.9,71
2019,665,580,-76,-200,97,10.4,3817,33,16.9,54
2020,712,603,-60,-257,162,11.0,4050,42,17.8,39
2021,611,696,-314,-381,41,9.8,3645,44,18.1,85
2022,754,553,51,-132,111,8.8,3443,38,17.9,109
2023,664,740,-325,-395,32,9.8,3671,39,17.7,86
2024,845,665,-64,-243,165,10.0,3733,36,17.6,61
2025,713,583,-33,-164,67,10.0,3698,36,17.5,72
2026,688,702,-287,-307,-21,9.5,3587,36,17.7,83
2027,662,664,-214,-306,32,9.2,3393,28,17.3,88
2028,789,577,50,-166,99,9.0,3382,40,16.8,100
2029,793,725,-165,-331,65,9.0,3360,36,16.0,87
2030,654,665,-231,-314,79,8.8,3303,25,16.2,91
2031,588,576,-145,-303,83,9.7,3638,32,16.3,73
2032,743,555,40,-199,135,9.3,3466,25,16.7,80
2033,595,572,-144,-220,69,9.8,3616,32,17.1,92
2034,603,578,-160,-327,116,9.7,3648,26,16.5,66
2035,777,569,40,-102,91,10.0,3733,37,17.4,61
2036,600,558,-135,-271,92,10.0,3676,15,15.3,45
2037,691,618,-92,-192,57,10.4,3867,57,17.7,80
2038,730,645,-75,-275,100,10.8,4007,55,17.4,62
2039,573,553,-139,-278,78,8.9,3406,30,16.3,96
2040,644,609,-122,-296,154,9.8,3702,44,17.4,81
2041,680,577,-53,-212,90,9.8,3683,30,16.8,76
2042,697,647,-115,-313,110,10.3,3877,56,18.6,82
2043,580,603,-196,-301,15,9.9,3777,47,17.4,87
2044,714,575,-8,-179,76,9.2,3469,30,16.9,94
2045,610,557,-110,-267,73,9.6,3551,19,16.5,66
2046,605,558,-122,-211,95,9.5,3547,22,16.6,82

min,200,400,,,,6,2500,,12,30
max,1100,1000,,,,14,5000,,24,150
steps,10,11,,,,9,11,,5,9
decimal

