year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,81,77,67,71,80,28,25,53,55,730,416,125,91,68
2001,83,81,60,65,85,34,,46,50,590,415,135,92,65
2002,86,85,70,70,76,35,,54,60,731,446,135,91,70
2003,90,78,75,75,88,39,,57,60,820,437,150,86,62
2004,94,85,74,69,94,39,,59,59,830,514,150,91,64
2005,84,83,72,65,90,40,,49,43,820,456,150,91,65
2006,82,76,70,55,98,32,15,47,44,810,426,130,90,66
2007,73,73,58,44,97,33,15,38,44,775,496,123,106,76
2008,92,86,84,60,100,37,15,60,67,840,447,137,100,72
2009,93,87,70,59,103,42,15,55,55,970,455,151,74,53
2010,88,82,70,63,96,41,20,50,42,827,445,150,73,51
2011,92,83,73,54,102,48,20,55,52,975,524,145,77,55
2012,79,81,70,54,93,41,20,50,60,800,380,154,93,72
2013,89,82,75,76,91,41,20,56,50,870,450,142,93,72
2014,88,86,72,70,112,36,22,53,45,930,550,156,127,93.9
2015,99,98,65,74,90,42,20,40,40,938,450,147,77,54.2
2016,64,64,44,64,68,33,18,28,34,866,398,140,84,60.6
2017,92,85,72,60,96,45,20,40,25,958,459,155,69,50.5
