year,spring-oat,sugar-beet,wheat,winter-rapeseed,bean,maize-for-grain,barley,apple,potatoes,buckwheat,rye,sunflower,triticale,vetch
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha
2000,18.9,394.3,32.3,21.9,,60.6,25.4,87.8,193.8,11.9,18.8,15.1,27.3,13.6
2001,24.6,358.0,35.3,24.0,14.3,60.7,31.1,146.3,162.3,10.7,24.3,14.1,32.2,13.4
2002,24.6,443.4,38.5,21.7,13.9,61.6,32.1,128.7,193.2,11.1,24.6,14.9,32.3,14.7
2003,22.4,410.0,34.0,18.6,13.9,52.9,27.9,152.4,179.3,11.1,21.4,17.2,28.5,12.8
2004,27.5,428.3,42.8,30.3,14.0,56.9,35.2,143.9,196.3,12.9,27.6,15.9,35.2,15.9
2005,24.6,409.9,39.5,26.4,15.2,57.3,32.2,122.3,176.3,10.7,24.1,17.1,32.7,14.4
2006,19.2,437.9,32.4,26.5,15.2,41.6,25.9,142.3,150.4,6.7,19.9,11.6,26.8,10.9
2007,25.1,512.5,39.4,26.7,14.8,65.7,32.5,59.2,207.0,11.6,23.7,17.5,32.9,11.5
2008,22.9,464.8,40.7,27.3,14.0,58.1,30.0,164.6,190.6,10.7,24.7,17.8,33.4,16.7
2009,26.9,542.6,41.7,30.8,13.9,62.3,34.4,151.3,191.0,11.6,26.6,18.1,35.7,17.0
2010,26.4,483.6,44.3,23.6,14.3,59.8,35.0,110.2,210.8,11.0,26.9,15.1,34.5,17.2
2011,25.3,573.6,41.3,22.4,13.2,71.8,32.7,135.8,230.3,12.3,24.0,18.7,33.4,14.4
2012,28.6,582.5,41.4,25.9,13.7,73.5,36.0,147.8,243.8,13.3,27.7,17.6,33.8,14.4
2013,27.4,580.1,44.4,29.1,14.5,65.8,35.8,159.5,210.6,12.9,28.6,17.5,36.3,15.2
2014,30.5,682.5,49.7,34.4,14.3,65.9,40.5,181.2,277.7,13.3,31.5,17.1,40.2,17.0
2015,26.5,519.9,45.7,28.5,14.0,47.1,35.3,175.7,210.2,10.9,27.8,16.5,35.2,14.3
2016,28.7,664.9,45.8,27.0,14.0,73.2,37.6,203.4,286.3,14.6,28.4,17.5,37.1,16.3
2017,29.8,679.0,48.8,29.5,14.0,71.5,39.8,138.4,278.5,14.5,30.6,19.2,39.3,15.7
