year,winter-soft-wheat,winter-barley,triticale,winter-field-peas,maize-for-grain,winter-rapeseed,bean,winter-field-peas,sugar-beet,potatoes,linseed,apple,pear,tomatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,8.4,6.1,5.5,5.0,11.0,3.6,5.7,5.0,61.2,45.7,0.9,35.9,33.7,433.3
2001,7.9,5.8,4.4,4.7,8.9,3.4,6.3,4.7,55.0,43.4,0.9,34.8,12.5,458.3
2002,7.8,5.5,5.4,4.1,9.7,3.0,5.9,4.1,57.4,44.6,1.0,31.7,27.0,462.5
2003,8.7,6.4,5.5,3.4,8.4,3.5,4.6,3.4,60.4,40.8,1.2,34.9,24.9,473.3
2004,8.9,6.0,5.3,4.0,8.5,4.6,6.6,4.0,64.4,45.7,1.2,42.7,32.3,484.5
2005,8.6,6.1,4.9,4.2,8.8,3.7,6.4,4.2,65.0,43.4,0.8,36.9,29.1,472.8
2006,8.4,6.0,5.5,4.4,9.2,3.5,5.3,4.4,65.4,40.0,0.8,38.2,32.1,453.3
2007,7.3,5.8,5.0,3.8,11.9,3.5,5.0,3.8,67.1,43.8,0.7,41.6,35.6,456.7
2008,8.7,6.2,6.0,4.7,11.4,4.0,5.7,4.7,72.3,45.6,0.8,40.3,22.9,456.3
2009,9.3,7.0,6.2,4.6,13.0,4.5,3.4,4.6,78.9,46.3,1.2,44.6,37.8,491.4
2010,8.9,6.1,5.3,4.7,11.8,4.4,4.3,4.7,74.8,43.6,1.0,38.5,34.3,486.3
2011,7.8,6.0,5.9,4.7,12.3,3.4,5.2,4.7,79.9,46.1,0.6,50.6,41.0,478.8
2012,8.6,6.9,6.3,4.8,12.3,3.5,5.1,4.8,79.6,45.2,0.8,35.4,24.4,476.0
2013,8.7,7.0,5.1,5.0,11.9,3.0,5.1,5.0,78.2,42.2,1.1,39.7,38.4,483.6
2014,9.2,7.1,6.2,4.9,13.7,3.3,5.1,4.9,90.8,45.7,0.7,45.0,40.6,505.6
2015,9.1,7.0,5.1,4.8,10.8,3.9,5.1,4.8,83.3,42.7,1.0,44.2,37.8,507.1
2016,8.0,6.9,5.2,4.9,10.0,3.3,5.0,4.9,77.8,42.0,0.7,43.2,39.6,507.0
2017,9.1,6.9,5.2,5.0,13.5,4.1,5.0,5.0,93.3,46.0,0.6,32.6,33.9,508.4
