year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1203,13,-215,6
1988,1039,13,-190,9
1989,1251,13,-76,9
1990,1144,12,-229,3
1991,1157,11,-277,0
1992,1284,12,-188,1
1993,1095,13,-344,4
1994,1306,13,-237,0
1995,1191,11,-162,3
1996,1181,13,-345,4
1997,1048,12,-246,8
1998,884,12,-25,1
1999,1071,13,-363,0
2000,1084,12,-126,3
2001,1278,12,-216,3
2002,1128,12,-168,5
2003,1058,12,37,1
2004,1364,13,-259,0
2005,1266,11,-136,0
2006,1171,13,-157,3
2007,946,12,-141,8
2008,1120,12,-186,13
2009,1331,13,-219,0
2010,1124,12,4,2
2011,1187,13,-107,4
2012,1076,12,-94,1
2013,1056,10,-175,17
2014,1171,12,-178,0
2015,1314,13,-230,4
2016,1018,11,-158,3
2016
2017,1262,13,-63,1
2018,961,11,-168,0
2019,1314,11,-242,0
2020,1025,12,-112,3
2021,1088,12,-258,4
2022,1200,12,-179,3
2023,1091,12,-262,0
2024,1087,13,-205,12
2025,1330,11,-170,4
2026,1173,12,-282,9
2027,1153,13,-302,1
2028,1286,12,-107,1
2029,1339,14,-396,9
2030,1359,13,-180,0
2031,1216,13,-160,3
2032,1096,13,-197,9
2033,1362,14,-273,0
2034,1316,14,-294,0
2035,1218,13,-137,3
2036,1132,14,-116,4
2037,1399,13,-265,0
2038,1307,14,-150,0
2039,1438,13,-223,0
2040,1154,12,-106,5
2041,1317,13,-80,0
2042,1434,12,-101,2
2043,1116,13,-137,2
2044,1200,14,-101,7
2045,1077,13,-199,0
2046,1377,12,-283,4
