year,winter-soft-wheat,winter-barley,winter-oat,winter-rapeseed,bean,winter-field-peas,potatoes,rye,apple,sugar-beet,tomatoe
,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha
2000,9.5,7.2,7.5,3.2,6.0,3.4,33.7,2.4,18.2,56.8,269.0
2001,9.1,7.0,7.1,3.0,5.6,3.8,33.4,2.4,26.4,48.2,310.7
2002,8.4,5.5,7.1,3.0,5.0,4.0,33.7,2.4,17.3,41.6,357.1
2003,8.3,6.5,7.4,3.1,5.0,4.7,34.4,2.4,11.9,47.8,357.1
2004,9.9,7.2,7.8,3.0,6.2,4.5,41.5,2.5,29.3,59.9,395.0
2005,8.4,6.2,6.7,3.8,5.1,5.0,34.7,2.6,23.3,44.5,405.0
2006,9.2,6.8,7.1,3.5,4.6,5.9,33.3,2.6,28.6,44.5,395.0
2007,8.5,6.7,7.5,3.9,4.3,4.9,34.1,2.7,24.2,45.0,385.0
2008,9.0,6.9,7.6,3.6,4.8,4.2,30.8,2.7,25.2,51.0,392.9
2009,8.2,6.3,7.1,3.8,5.5,4.9,27.5,2.8,21.1,52.0,361.5
2010,8.6,7.0,7.5,3.5,5.7,4.7,34.4,2.9,34.0,52.1,359.3
2011,9.9,7.8,7.9,4.5,6.1,5.3,34.2,2.9,32.9,52.6,354.1
2012,7.2,6.5,6.6,3.4,4.9,4.1,25.8,3.1,19.5,53.2,350.6
2013,9.0,7.6,7.2,3.6,5.3,4.4,38.3,3.1,24.7,53.7,349.4
2014,10.0,8.0,8.0,3.6,6.1,5.0,40.3,3.1,30.9,54.1,350.0
2015,10.7,8.6,8.4,4.5,6.7,4.1,42.4,3.2,29.6,54.6,366.7
2016,9.5,7.8,7.9,3.4,5.8,3.4,39.1,3.3,31.4,55.4,333.3
2017,10.2,8.4,8.4,4.1,6.7,3.6,44.8,3.3,30.8,57.3,316.7
