year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,sugar-beet,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,20,18,18,11,15,20,13,,14,,,124,164,193.7
2001,25,20,17,12,16,18,8,20,6,,,78,285,288.2
2002,27,17,20,14,14,21,5,15,14,,,112,317,198.4
2003,23,23,20,21,17,23,8,18,17,10,23,118,365,344.8
2004,29,27,23,23,21,27,7,16,14,15,17,88,289,184.5
2005,25,19,19,16,19,21,5,9,13,10,13,101,226,205.9
2006,14,16,17,8,11,10,3,3,6,5,6,63,313,186.2
2007,27,25,23,16,20,26,9,11,15,18,14,113,338,313
2008,30,23,27,17,21,26,8,18,11,15,16,109,,204.1
2009,31,28,26,24,22,28,6,16,15,12,15,115,,160.3
2010,20,21,16,9,15,16,7,9,13,14,11,97,,276.5
2011,25,26,17,22,23,22,10,13,16,13,14,123,,211.7
2012,34,31,24,36,24,28,8,23,18,20,14,142,,201.1
2013,35,28,18,35,21,22,9,13,15,23,14,118,,240.4
2014,32,36,19,30,33,23,13,19,18,23,20,162,,262
2015,44,36,28,24,31,36,10,32,17,23,23,174,,238.8
2016,35,27,18,32,27,27,13,20,18,20,19,131,,265.4
2017,31,25,25,32,24,27,11,24,14,19,18,76,,206.3
