year,winter-soft-wheat,winter-barley,triticale,winter-field-peas,maize-for-grain,winter-rapeseed,bean,winter-field-peas,sugar-beet,potatoes,linseed-oild,apple,pear,tomatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,7.5,5.4,4.8,3.8,,3.0,,3.8,56.5,42.5,0.5,14.9,9.1,392.6
2001,7.4,5.3,4.9,3.5,,2.7,,3.5,55.9,40.4,0.2,11.2,6.2,407.4
2002,7.0,5.0,4.8,3.7,,2.6,,3.7,58.4,39.9,0.3,11.9,6.9,393.3
2003,7.1,5.3,5.2,4.0,,3.3,,4.0,57.6,39.1,0.3,19.8,9.2,410.4
2004,7.1,5.1,4.8,3.6,,3.8,,3.6,58.1,39.7,0.3,22.1,19.3,430.8
2005,7.2,5.4,4.8,3.2,,3.1,,3.2,58.8,39.4,,21.8,22.9,383.5
2006,7.0,4.8,4.9,3.1,,3.5,,3.1,55.9,35.3,0.4,20.7,20.5,383.5
2007,6.6,4.9,4.7,3.3,,3.3,,3.3,57.2,38.6,0.4,21.5,22.5,350.0
2008,7.9,4.7,5.2,3.2,,3.7,,3.2,60.0,41.6,0.3,19.3,15.6,298.5
2009,8.0,5.7,5.2,3.4,,3.9,,3.4,51.2,41.6,0.3,18.8,14.2,416.7
2010,6.6,5.2,4.9,3.2,4.8,3.5,,3.2,61.5,35.3,0.3,15.0,15.0,375.0
2011,6.5,5.4,5.2,3.4,5.2,3.4,,3.4,67.5,38.9,0.3,17.0,20.0,331.0
2012,7.4,5.6,5.2,4.0,5.8,3.8,,4.0,67.6,42.1,0.3,13.9,19.8,358.6
2013,7.3,5.7,5.6,3.4,5.9,3.9,,3.4,60.5,41.6,0.3,22.6,21.1,357.1
2014,7.8,5.9,6.2,4.0,7.2,4.3,,4.0,70.3,43.1,0.2,25.7,20.5,375.0
2015,8.0,6.1,5.3,4.5,6.2,4.3,,4.5,67.1,41.4,0.2,25.7,23.2,352.7
2016,7.2,5.6,5.6,3.7,7.7,3.1,,3.7,71.0,42.5,0.2,27.4,22.9,307.4
2017,8.2,6.0,6.6,4.5,7.6,4.2,,4.5,71.4,43.7,0.2,16.0,15.0,379.3


