year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,vetch,potatoes,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,29,23,20,19,18,23,10,19,12,19,21,14,170,197
2001,28,24,19,18,15,22,9,20,12,15,12,13,130,253
2002,35,29,24,19,17,27,8,21,16,18,17,15,167,215
2003,29,26,20,19,16,17,8,13,15,20,19,13,160,251
2004,31,24,21,22,19,25,7,28,16,27,18,21,148,182
2005,38,32,22,25,21,24,10,28,17,15,16,17,176,199
2006,30,22,27,20,15,20,5,21,11,11,10,14,131,182
2007,38,31,31,24,21,31,10,24,16,17,16,13,187,239
2008,44,29,33,22,21,25,7,30,15,21,16,18,213,213
2009,39,30,28,25,23,26,5,25,16,23,20,21,208,230
2010,35,24,20,20,16,22,7,25,13,19,22,14,195,196
2011,31,29,23,24,20,22,10,20,17,22,24,25,206,307
2012,47,33,34,28,22,37,7,32,18,26,19,17,205,268
2013,42,31,26,27,22,26,10,27,18,25,22,13,216,300
2014,32,40,35,35,23,25,8,19,18,28,30,10,217,300
2015,55,41,43,38,27,41,9,37,21,34,30,22,233,286
2016,48,31,39,29,23,34,11,32,17,32,26,15,238,314
2017,52,31,38,29,19,31,6,31,16,33,21,9,201,268
