year,winter-soft-wheat,spring-soft-wheat,rye,winter-barley,spring-barley,spring-oat,winter-rapeseed,spring-rapeseed,spring-field-peas,potatoes,sugar-beet,temporary-grasslands
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,49,43,39,41,41,38,31,,28,280,443
2001,45,42,36,43,37,36,26,,24,281,419
2002,53,43,42,50,41,43,24,18,29,281,361
2003,50,46,40,32,41,45,,16,31,258,430,43.2
2004,56,45,43,,46,36,34,19,45,302,442,43.4
2005,52,50,41,45,39,37,28,17,30,275,410,41.2
2006,42,35,,42,30,24,24,12,21,252,386,32.1
2007,49,41,,47,36,29,27,18,27,303,426,44.7
2008,51,43,41,52,37,34,28,17,33,292,,50.4
2009,54,40,46,52,45,34,33,22,39,295,,55
2010,44,37,,36,31,27,28,12,26,274,,63.3
2011,40,45,33,29,36,35,26,22,32,276,,47.5
2012,65,50,54,66,49,44,40,22,45,322,,61.5
2013,55,45,,49,47,39,29,21,39,296,,43.5
2014,60,41,42,56,43,34,32,19,36,320,,60.8
2015,73,47,46,57,51,35,41,25,43,318,,54.4
2016,65,44,,62,44,34,30,18,40,333,,55.9
2017,64,43,52,61,45,27,29,,38,308,,53
