year,winter-soft-wheat,spring-soft-wheat,rye,winter-barley,spring-barley,spring-oat,winter-rapeseed,spring-rapeseed,linseed-oild,spring-field-bean,spring-field-peas,potatoes,temporary-grasslands
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,61,48,49,,47,46,31,20,12,,34,268
2001,58,44,51,,43,34,26,20,11,,35,279
2002,60,48,56,,43,43,32,19,20,,33,279
2003,48,45,52,,44,45,23,18,21,,32,282,43.5
2004,61,48,62,,50,47,37,22,22,,38,323,47.2
2005,67,48,57,,45,41,34,18,18,,29,312,44.3
2006,59,41,53,,42,37,30,19,15,,29,316,44.3
2007,67,44,58,,50,49,34,19,21,,30,292,43.2
2008,67,39,64,,43,35,30,21,16,25,33,332,36.8
2009,66,49,62,58,52,45,27,16,21,38,33,325,49.8
2010,55,42,45,42,40,28,22,13,14,21,23,319,55.3
2011,56,41,58,50,49,39,30,20,18,35,37,362,43.4
2012,67,41,66,,50,40,36,20,16,40,31,347,46.4
2013,61,51,53,56,52,44,27,20,20,35,39,355,39.4
2014,71,46,70,65,49,39,36,15,17,28,36,365,46.5
2015,76,44,75,81,53,42,41,,21,42,39,362,61.5
2016,68,51,69,63,54,48,31,,21,33,42,355,47.1
2017,77,52,74,75,61,50,32,,20,36,39,389,53.2
