year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,cereals-mixed-and-only-cereals,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-peas,potatoes,permanent-grasslands,temporary-grasslands
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha
2000,20,16,15,17,25,,15,7,,,20,131
2001,19,18,15,16,21,16,15,5,,,19,132
2002,23,16,17,15,20,18,13,6,,,26,112
2003,15,19,11,15,19,10,15,12,,,14,123
2004,20,24,17,17,21,23,23,0,0,13,6,118,68,106
2005,29,24,16,20,21,20,19,,,18,15,108,93,66
2006,10,16,13,15,14,12,15,,,12,12,170,83,80
2007,33,26,25,20,23,28,12,,10,13,19,151,75,121
2008,34,21,26,18,21,26,10,7,10,9,12,121,81,102
2009,32,19,22,21,31,25,0,0,9,14,15,123,79,111
2010,28,21,13,18,21,14,22,3,17,14,36,110,88,80
2011,29,19,17,19,22,16,22,0,10,14,23,148,87,102
2012,37,21,25,27,39,21,13,3,22,15,10,113,95,165
2013,23,27,17,27,30,22,11,0,15,17,25,156,110,91
2014,,28,22,29,32,30,30,7,,,23,106,86,96
2015,46,36,26,36,33,43,30,9,36,20,32,198,80,103
2016,37,23,20,30,31,33,39,8,,16,23,158,56,97
2017,44,28,24,35,26,38,62,6,31,12,21,157,56,130
