year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,permanent-grasslands,temporary-grasslands,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,19,19,19,18,18,,,,,15,120
2001,18,21,19,17,16,18,,,,14,121
2002,21,19,21,16,15,20,,,11,20,103
2003,14,22,14,16,15,11,,,6,11,113
2004,21,20,17,22,18,18,13,13,6,10,68,90,105,0
2005,27,28,23,21,24,13,24,15,0,11,119,97,111,199
2006,12,24,7,23,18,7,,14,10,12,130,69,108
2007,32,33,29,20,24,37,14,15,9,13,172,74,132
2008,41,23,18,23,18,34,8,12,20,6,123,75,129,190
2009,29,23,43,21,18,24,9,13,16,15,120,86,143,145
2010,24,26,16,20,14,17,10,9,15,14,121,88,105,128
2011,21,24,22,21,16,28,11,15,14,13,147,102,94,293
2012,39,29,38,22,20,42,18,13,0,11,131,119,164,418
2013,25,29,18,26,19,19,14,16,13,27,134,77,119,259
2014,31,35,32,33,20,40,18,18,,18,126,70,128,308
2015,41,38,36,35,26,48,16,20,26,20,150,73,137,247
2016,24,27,33,25,19,32,14,11,13,15,117,45,93,293
2017,41,39,44,41,29,52,,,9,18,159,51,73,224

















