year,winter-soft-wheat,spring-soft-wheat,rye,winter-barley,spring-barley,spring-oat,triticale,cereals-mixed-and-only-cereals,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,27,22,32,,24,23,,21,12,,,,24,156
2001,26,24,31,,23,20,27,20,9,,,,22,159
2002,31,22,35,,22,19,31,19,10,,,15,31,135
2003,20,26,23,6,22,19,18,20,21,,,8,17,147
2004,34,24,40,56,25,23,25,46,6,12,16,7,23,114
2005,44,30,40,33,29,25,33,35,12,21,18,5,17,172
2006,35,27,39,24,27,23,28,41,9,17,14,3,13,143
2007,50,39,36,29,32,29,45,23,9,23,18,9,23,188
2008,43,32,39,40,29,26,52,15,2,22,16,19,15,148
2009,34,32,35,19,30,29,28,15,6,19,19,25,22,154
2010,35,29,39,23,28,21,34,19,5,21,15,10,23,186
2011,36,29,35,24,28,25,38,35,9,18,18,8,21,188
2012,53,37,48,39,37,26,56,,4,27,17,15,10,165
2013,36,39,48,36,36,25,36,25,7,27,20,16,30,195
2014,47,41,41,0,44,22,51,29,6,21,17,,23,159
2015,57,42,41,47,45,27,59,30,10,31,21,27,28,241
2016,30,24,40,35,25,19,43,25,9,14,14,22,20,118
2017,52,38,52,54,46,26,51,31,5,25,16,15,15,239
