year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,winter-barley,spring-oat,triticale,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,temporary-grasslands,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,27,22,32,24,,23,,,,,24,156
2001,26,24,31,23,,20,27,,,,22,159
2002,31,22,35,22,,19,30,,,15,30,135
2003,20,26,23,22,6,19,17,,,8,17,147
2004,34,24,40,25,56,23,25,12,16,7,23,114,122,231
2005,44,30,40,29,33,25,33,21,18,5,17,172,143,210
2006,35,27,39,27,24,23,28,17,14,3,13,143,86,156
2007,50,39,36,32,28,29,45,23,18,9,23,188,114,253
2008,43,32,39,29,40,26,52,22,16,19,15,148,131,176
2009,34,32,35,30,19,29,28,19,19,25,22,154,124,250
2010,35,29,39,28,23,21,34,21,15,10,23,186,106,185
2011,36,29,35,28,24,25,38,18,18,8,21,188,118,294
2012,52,37,48,36,39,26,56,27,17,15,10,165,154,258
2013,36,39,48,36,36,25,36,27,20,16,30,195,122,307
2014,47,41,41,44,0,22,51,21,17,,23,159,138,262
2015,57,42,41,45,47,27,59,31,21,27,28,241,150,285
2016,30,24,40,25,35,19,42,13,14,22,20,118,107,275
2017,43,30,46,40,53,26,36,32,16,5,7,171,99,220

















