year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,spring-rapeseed,linseed-oild,spring-field-bean,spring-field-peas,potatoes,sugar-beet
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,36,34,26,37,38,,,,18,227,321
2001,37,38,25,35,35,,,,24,197,343
2002,39,33,25,33,36,,,,27,230,355
2003,36,37,25,35,33,,,,23,179,308
2004,32,34,22,33,33,,,,15,157,244
2005,37,38,24,37,35,,,,18,231,357
2006,32,37,23,33,32,,,,27,239,392
2007,42,38,28,38,38,,,,23,268,378
2008,37,38,27,39,39,,,,31,254,326
2009,33,41,27,38,37,,,,29,308,359
2010,36,32,29,29,29,,,13,20,244,337
2011,43,37,34,35,36,,8,18,23,268,463
2012,48,37,34,36,40,,,32,33,245,350
2013,31,39,20,39,40,,,30,27,290,431
2014,42,40,38,36,38,,8,29,22,266,419
2015,52,39,45,40,39,21,,31,17,236,330
2016,35,37,37,38,38,21,14,28,24,283,332
2017,38,41,46,42,43,20,,23,25,304,367
