year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,spring-field-peas,potatoes
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,,38,24,32,33,13,196
2001,,35,10,30,29,26,184
2002,35,33,20,31,30,30,187
2003,35,29,20,27,28,21,174
2004,28,26,17,24,25,17,151
2005,13,35,11,30,27,,158
2006,29,37,19,35,28,,205
2007,28,32,18,33,29,,176
2008,,32,13,30,26,,115
2009,,39,24,38,33,,167
2010,,31,26,29,26,,339
2011,36,30,25,33,30,14,187
2012,37,29,18,23,25,,156
2013,,34,28,34,28,,272
2014,31,34,20,27,23,,197
2015,,31,19,25,24,36,198
2016,31,33,26,32,29,20,256
2017,36,25,15,30,26,,279
