year,wheat,spring-durum-wheat,barley,oat,maize,rapeseed,sunflower-seed,beans-dry,beans-green,lentils,grapes,apples,fodder-beet,maize-green
,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha
2000,2.667,1.944,2.417,1.955,9.671,1.959,1.334,1.957,9.053,1.345,7.936,22.301,1.950,35.805
2001,2.510,2.344,2.393,1.955,10.346,1.957,1.342,2.074,9.038,1.222,8.626,17.895,1.770,35.308
2002,2.343,2.146,2.496,1.978,9.954,1.954,1.420,2.066,9.139,1.182,7.165,20.563,1.759,33.842
2003,2.008,1.878,2.169,1.954,10.406,1.952,1.532,2.214,9.060,1.167,8.606,13.578,1.725,32.187
2004,2.476,2.374,2.489,2.032,10.109,1.961,1.610,2.232,9.196,1.372,8.835,20.529,1.741,33.114
2005,2.406,2.327,2.541,2.037,10.303,1.953,1.779,2.162,8.966,1.183,8.926,18.722,1.878,36.318
2006,2.286,2.145,2.413,2.014,10.138,2.000,1.752,2.134,8.775,1.099,9.134,21.722,1.848,35.060
2007,2.235,2.262,2.304,1.949,10.022,2.099,1.589,1.904,8.878,0.913,8.087,19.036,1.438,35.391
2008,2.777,2.368,2.743,1.985,10.481,1.507,1.717,2.020,8.976,1.156,8.269,19.343,1.682,34.000
2009,2.744,2.335,2.670,2.034,10.433,2.087,1.968,2.075,9.413,1.092,8.400,19.776,1.728,36.746
2010,2.604,2.273,2.576,1.989,10.382,2.154,2.170,2.100,9.450,0.975,8.349,20.365,1.695,36.933
2011,2.700,2.304,2.633,2.054,10.707,1.784,2.136,2.324,9.239,1.030,8.119,20.562,1.656,34.775
2012,2.665,2.000,2.629,2.055,10.456,1.850,2.237,1.859,9.137,1.320,8.140,19.971,1.655,34.856
2013,2.778,2.125,2.780,2.052,10.669,2.075,2.380,2.141,9.010,1.234,8.446,19.202,1.648,36.200
2014,2.747,2.058,2.832,2.197,11.103,1.768,2.517,2.704,9.109,1.380,16.730,25.710,1.937,37.687
2015,2.905,2.313,2.782,2.089,11.670,1.095,2.122,2.433,9.741,1.307,9.513,27.171,1.971,40.812
2016,3.099,1.991,2.855,1.285,10.845,2.250,2.853,2.346,10.205,1.214,11.111,29.351,1.761,41.845
2017,2.589,1.850,2.627,1.117,10.282,1.947,2.434,2.387,9.544,1.217,9.947,29.406,1.746,38.772
