year,maize-for-grain-rainfed,chickpea,potatoes,rice,grain-sorghum,sunflower,triticale,vetch,vineyards,Wheat-rainfed,Barley-rainfed,Oat-rainfed,Rapeseed-rainfed,Field-pea-rainfed
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,1.75,0.65,8.00,8.38,1.85,1.25,2.33,0.40,8.50,2.30,1.92,1.75,0.25,0.90
2001,1.75,1.33,7.25,9.38,1.85,0.98,2.28,0.53,7.80,2.59,2.40,1.78,0.63,1.35
2002,3.50,1.08,4.50,8.57,2.25,1.15,2.75,0.68,5.20,3.11,2.30,1.95,1.11,1.35
2003,3.25,0.76,3.75,8.48,2.25,1.13,2.52,0.75,9.50,2.81,2.65,2.34,0.96,0.95
2004,3.33,1.69,3.94,8.63,2.31,1.20,3.07,0.86,8.40,3.41,2.88,2.02,1.02,1.22
2005,1.30,0.40,2.76,8.28,1.58,0.53,0.80,0.40,4.80,0.90,0.75,0.60,0.00,0.50
2006,3.41,0.75,12.50,7.25,3.07,1.21,3.15,1.06,6.20,3.50,3.09,2.47,0.65,1.33
2007,3.15,1.19,12.50,8.89,2.84,1.52,3.14,1.32,6.88,3.49,2.82,2.06,1.45,1.55
2008,5.50,1.00,12.50,6.99,4.68,1.29,2.57,0.74,6.52,2.85,2.53,2.15,0.70,0.87
2009,2.75,0.84,7.50,8.91,3.00,1.14,2.40,0.68,7.08,3.48,2.46,2.02,1.60,1.60
2010,3.25,1.07,7.75,9.10,3.00,1.26,1.83,0.73,6.42,2.35,1.64,1.53,1.22,0.74
2011,3.75,0.91,9.03,9.47,3.50,1.38,2.28,1.21,7.47,2.79,2.07,2.10,0.74,1.07
2012,3.75,0.24,5.50,9.45,3.25,0.47,1.05,0.35,6.11,0.49,0.25,0.50,1.25,0.37
2013,3.50,1.25,8.75,9.37,3.00,1.13,2.53,1.60,8.04,2.97,2.56,2.25,1.35,1.30
2014,4.50,1.02,12.00,9.45,4.50,1.40,2.82,1.45,7.10,3.41,2.57,1.65,2.85,1.45
2015,9.00,0.80,12.39,9.08,4.50,0.95,1.51,1.45,9.19,2.88,2.69,1.57,2.15,1.50
2016,2.26,1.63,10.55,9.17,3.63,1.02,1.91,1.47,7.55,1.63,2.15,1.79,1.76,1.17
2017
