year,lentils,maize-silage,chickpea,rye,soybean,grain-sorghum,sunflower,vineyards,Maize-for-grain ,Oat-rainfed,Rapeseed-rainfed,Fodder-vetch-rainfed,Wheat,Barley
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,1.34,35.80,1.36,1.94,1.74,2.10,1.33,7.94,9.67,1.96,1.96,1.95,2.67,2.42
2001,1.22,35.31,1.63,2.34,1.64,3.52,1.34,8.63,10.35,1.95,1.96,1.77,2.51,2.39
2002,1.18,33.84,1.52,2.15,1.97,3.10,1.42,7.17,9.95,1.98,1.95,1.76,2.34,2.50
2003,1.17,32.19,1.36,1.88,0.77,2.79,1.53,8.61,10.41,1.95,1.95,1.72,2.01,2.17
2004,1.37,33.11,1.27,2.37,0.13,1.62,1.61,8.84,10.11,2.03,1.96,1.74,2.48,2.49
2005,1.18,36.32,1.21,2.33,0.37,1.36,1.78,8.93,10.30,2.04,1.95,1.88,2.41,2.54
2006,1.10,35.06,1.15,2.15,2.15,1.84,1.75,9.13,10.14,2.01,2.00,1.85,2.29,2.41
2007,0.91,35.39,1.14,2.26,2.11,1.15,1.59,8.09,10.02,1.95,2.10,1.44,2.24,2.30
2008,1.16,34.00,1.23,2.37,0.37,1.06,1.72,8.27,10.48,1.98,1.51,1.68,2.78,2.74
2009,1.09,36.75,1.14,2.34,1.99,2.10,1.97,8.40,10.43,2.03,2.09,1.73,2.74,2.67
2010,0.98,36.93,1.15,2.27,2.71,1.61,2.17,8.35,10.38,1.99,2.15,1.69,2.60,2.58
2011,1.03,34.77,1.20,2.30,2.54,0.79,2.14,8.12,10.71,2.05,1.78,1.66,2.70,2.63
2012,1.32,34.86,1.18,2.00,2.60,1.43,2.24,8.14,10.46,2.06,1.85,1.65,2.67,2.63
2013,1.23,36.20,1.26,2.12,2.74,2.64,2.38,8.45,10.67,2.05,2.07,1.65,2.78,2.78
2014,1.38,37.69,1.51,2.06,2.79,3.40,2.52,16.73,11.10,2.20,1.77,1.94,2.75,2.83
2015,1.31,40.81,1.48,2.31,2.94,3.59,2.12,9.51,11.67,2.09,1.10,1.97,2.91,2.78
2016,1.21,41.84,1.31,1.99,2.58,2.33,2.85,11.11,10.85,1.28,2.25,1.76,3.10,2.85
2017,1.22,38.77,1.31,1.85,2.26,2.25,2.43,9.95,10.28,1.12,1.95,1.75,2.59,2.63
