year,wheat-rainfed,barley-rainfed,vineyards-rainfed,Almond-rainfed,Almond-irrigated,Olive-rainfed,Olive-irrigated
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,1.97,0.99,1.25
2001,2.40,2.13,1.41
2002,2.93,2.25,1.47,1.52,1.68,1.60,1.90
2003,3.00,2.26,1.51,1.69,1.74,1.69,1.69
2004,2.38,2.05,1.55,1.24,1.57,1.31,1.41
2005,1.95,1.82,1.66,0.98,1.44,1.40,1.92
2006,2.30,1.96,1.87,0.84,1.98,1.15,1.69
2007,2.40,1.83,1.95,1.16,3.01,1.93,3.10
2008,2.08,1.42,1.89,0.83,1.22,1.86,2.81
2009,2.21,2.43,1.83,0.83,2.38,1.64,3.56
2010,2.91,2.36,3.28,0.85,2.95,2.84,5.40
2011,2.70,2.30,7.27,0.83,2.84,2.09,3.78
2012,2.44,2.13,6.85,0.45,2.31,0.00,0.00
2013,3.56,2.28,7.24,0.14,3.10,0.00,0.00
2014,1.73,0.97,6.25,0.70,2.12,1.34,3.07
2015,2.58,1.39,7.07,0.89,2.44,4.75,7.03
2016,1.00,1.15,6.80,0.63,1.50,1.55,2.25
2017,2.13,1.83,5.86,0.36,1.50,1.44,7.44
