year,winter-soft-wheat-rainfed,winter-barley-rainfed,vineyards-rainfed,Almond-rainfed,Almond-irrigated,Olive-rainfed,Olive-irrigated
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,1.048,2.244,4.74
2001,1.137,2.039,4.74
2002,2.543,2.807,6.16,1.52,1.68,1.60,1.90
2003,1.746,2.654,6.76,1.69,1.74,1.69,1.69
2004,1.855,3.574,5.5,1.24,1.57,1.31,1.41
2005,1.095,0.949,4.77,0.98,1.44,1.40,1.92
2006,1.393,1.758,5.68,0.84,1.98,1.15,1.69
2007,1.383,3.740,5.25,1.16,3.01,1.93,3.10
2008,2.234,2.881,4.46,0.83,1.22,1.86,2.81
2009,1.745,1.900,4.8,0.83,2.38,1.64,3.56
2010,2.190,2.155,4.27,0.85,2.95,2.84,5.40
2011,2.624,2.975,5.58,0.83,2.84,2.09,3.78
2012,1.374,1.201,5.66,0.45,2.31,0.00,0.00
2013,2.689,2.917,7.96,0.14,3.10,0.00,0.00
2014,0.591,0.437,3.5,0.70,2.12,1.34,3.07
2015,1.256,1.378,4.67,0.89,2.44,4.75,7.03
2016,0.741,0.704,5.15,0.63,1.50,1.55,2.25
2017,2.104,1.976,4.79,0.36,1.50,1.44,7.44

