year,wheat-rainfed,rye,rye-irrigated, barley-rainfed,tirticale,maize-for-grain-rainfed,sunflower,ervil,field-pea-rainfed,lentils,vetch,maize-sillage-irrigated,Almond-rainfed,vineyards
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha
2000,2015,1100,2800,2184,1750,11800,150,650,500,650,700,45000,210,3133
2001,887,780,2300,1143,820,12500,160,359,600,410,394,45000,375,2528
2002,1949,1491,2800,2771,1802,13000,500,1180,1150,900,1200,45000,500,3540
2003,1750,1300,4000,2352,1500,11100,300,800,1000,900,650,48000,200,4065
2004,2100,1500,4200,2818,1700,12500,400,850,1500,800,850,49000,70,3742
2005,395,275,3700,506,300,12700,150,150,300,125,150,47500,275,2738
2006,1520,1150,3800,1662,1375,12400,400,580,850,530,630,48500,465,2875
2007,2340,1725,4000,3050,1500,12200,450,850,1200,900,1100,55000,200,3560
2008,1825,1300,3800,2061,1600,13000,500,650,1000,700,775,52000,290,3780
2009,1275,900,4000,1650,1100,13000,400,750,1300,570,780,57000,370,3700
2010,1325,900,3900,1410,1200,13000,500,800,1150,800,900,58000,234,4150
2011,2400,1300,4000,2500,2150,13000,450,700,375,450,650,54500,250,3395
2012,1310,650,4000,1510,850,12600,325,410,380,400,400,55000,200,3500
2013,2312,1500,5000,2616,1875,13800,450,1450,1900,1200,1600,55500,146,5333
2014,800,700,4300,900,800,13500,350,400,400,425,350,54000,200,3350
2015,1100,900,4500,1289,1100,13300,350,600,600,425,550,53000,225,3152
2016,1830,1250,4600,2457,1500,13500,400,1150,1200,950,1100,55000,150,3869
2017
