year,wheat,rye,winter-barley,winter-oat,maize-for-grain-irrigated,grain-sorghum,rice,sunflower,soybean,chickpea,lentils,vetch,vineyards,tomatoe
,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha,Kg/ha
2000,3213,2958,3653.3,2261,9528,6344.5,5581,2123,3576.1,1036,746,1000,10163,54960.4
2001,2801,2857.1,3380.5,2218,9514,6205,5849,1973,3812,1374,767,985.7,10453,51708.3
2002,3125,2866.4,3472.1,2178,9492,6311,6270,2100,3861,1090,760,1040.8,8841,47114.1
2003,2748,2561.8,3295.8,2065,7481,5180,6413,1574,2611,1060,544,1062.6,8956,50966.7
2004,3670,2748.9,3793.7,2303,9498,6285,6632,2210,3446,1185,663,1085,11044,52996.6
2005,3635,2967.6,3794.6,2455,9368,5856,6307,2228,3630,1163,691,1120.1,10786,51794.9
2006,3730,3017.2,3877,2454,8729,5730,6277,2131,3099,1190,685,1180.6,10594,51977.2
2007,3414,2947,3554.8,2338,9312,5676,6624,2208,3134,1188,734,1142.9,9453,52116.6
2008,3869,2281.9,3746.8,2424,9573,5796,6195,2279,3212,1187,728,1122.6,9889,51758.5
2009,3586,2543.5,3419.8,2353,8605,6100,6794,2263,3476,1300,780,1133.3,10279,55637.7
2010,3742,3085.8,3622.3,2222,9167,6668,6122,2118,3464,1342,690,1131.6,10017,50704.4
2011,3834,2965,3520.8,2353,9803,7097,6045,2324,3402,1427,806,1141.5,10264,57291.8
2012,4129,3224.4,3820.1,2436,8033,4198,6813,1661,2759,1415,701,1140.2,10075,56942.3
2013,3844,2965,3690.1,2355,8699,6206,6634,2235,3391,1462,772,1148.3,11409,55900.8
2014,3811,3004.7,3637.4,2329,10621,7106,6315,2249,4007,1447,760,1156.4,10160,54513.8
2015,3928,3205.1,3932.3,2399,9725,6484,6679,2167,3615,1442,802,1164.5,11763,59804.4
2016,4203,3156.7,4011.4,2436,10352,7158,6825,2424,3754,1602,895,1172.6,12277,61935.3
2017,3856,3089.4,3928.9,2112,9367,5885,6780,2129,3163,1675,735,1180.7,10700,60309.5
