year,winter-soft-wheat,rye,oat rainfed,rapeseed-rainfed,sunflower,vetch,lentils,ervil,lucerne,maize-silage,vineyards,apple,winter-barley,triticale
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,2.44,1.32,1.53,1.76,0.51,1.12,1.00,1.10,43.01,45.00,5.27,0.31,3.44,1.79
2001,2.37,1.20,1.14,1.55,0.53,0.93,0.85,0.91,42.03,45.00,3.14,0.79,2.84,1.36
2002,2.89,1.63,1.68,1.06,0.72,1.15,0.89,1.18,51.73,40.00,4.61,16.50,3.58,1.63
2003,3.08,1.41,1.30,0.96,0.64,1.00,0.80,1.01,53.39,,5.67,0.38,3.06,1.69
2004,3.32,1.55,1.79,1.33,0.87,1.06,0.95,1.10,56.93,40.00,6.25,0.79,4.25,1.76
2005,1.97,0.98,0.54,0.56,0.60,0.28,0.21,0.28,52.73,29.85,4.88,1.57,0.92,0.95
2006,3.18,1.23,1.59,0.90,0.54,0.89,0.66,0.86,41.90,40.00,5.10,11.97,2.54,1.44
2007,0.44,1.84,2.53,0.89,0.79,1.14,0.91,1.20,54.10,41.00,5.19,8.99,4.78,2.22
2008,0.32,1.53,1.75,1.19,0.82,0.93,0.90,1.00,52.34,,4.98,8.77,2.72,1.61
2009,0.57,1.21,1.07,2.00,0.66,0.64,0.46,0.47,51.44,12.91,5.19,9.55,2.12,1.32
2010,3.10,1.20,1.50,,0.88,1.40,0.80,1.00,57.00,41.00,4.39,1.70,2.32,1.40
2011,3.40,2.40,2.40,0.90,0.81,0.80,0.25,0.95,56.00,42.00,4.64,1.40,3.44,2.70
2012,1.50,0.80,0.80,0.70,0.60,0.90,0.30,0.95,55.00,42.00,4.00,1.00,1.70,1.30
2013,3.10,2.42,2.75,,0.90,1.41,1.39,1.38,58.15,20.00,4.55,1.00,3.33,2.55
2014,2.80,2.00,2.65,1.20,0.78,1.45,1.25,1.40,58.15,20.00,4.55,,3.30,2.70
2015,2.80,2.00,2.65,1.20,0.78,1.45,1.25,1.40,58.15,16.00,4.50,2.20,3.30,2.70
2016,2.80,2.00,2.65,1.20,0.78,1.45,1.25,1.40,58.15,16.00,4.89,2.20,3.30,2.70
2017
