year,sugar-beet,lupine,pear,chickpea,apple,potatoes,rye,sunflower,triticale,vineyards,Maize-for-grain ,Oat-rainfed,Wheat,Barley
,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
2000,58506.70,1045.40,11414.00,546.60,10881.90,13819.60,1039.80,551.0,860.10,4192.70,5780.80,1321.80,837.10,1670.20
2001,52277.70,1057.50,11445.60,525.20,12667.30,14972.50,644.00,568.9,860.10,4832.10,5892.90,630.80,837.10,1070.40
2002,71223.30,978.30,10231.30,570.50,15215.10,16164.20,1023.70,562.5,1489.20,4202.20,5728.50,1076.00,1790.40,1786.70
2003,64613.50,978.40,7340.00,510.50,14942.60,16081.00,888.20,491.8,839.00,4659.60,5683.70,721.20,858.10,1132.40
2004,74965.50,980.90,15691.40,561.20,1531.10,16993.50,952.70,490.6,1396.90,4819.20,5786.90,1098.90,1562.50,1650.90
2005,70147.20,985.30,11009.40,393.70,14877.90,14728.20,778.50,339.2,1465.30,4758.70,4680.50,468.70,664.40,765.10
2006,74862.90,991.00,15075.00,563.10,16345.10,16105.90,1013.90,528.5,2092.60,5059.20,5288.50,1622.90,2384.70,2390.30
2007,86451.20,1000.00,12316.10,586.20,16861.60,16768.50,1021.70,800.3,1582.10,4157.40,5841.20,1346.80,1863.00,1994.00
2008,86381.50,1019.70,15372.20,586.20,17228.40,15751.90,1041.70,664.7,2052.50,3998.50,6327.80,1673.30,2302.80,2317.00
2009,48977.80,1013.50,18160.70,547.70,20942.80,16443.10,945.80,536.7,1479.90,4330.50,6693.60,1209.90,1700.80,1781.70
2010,25697.50,1001.20,16136.90,563.30,17100.60,15034.10,858.70,543.5,1056.50,5260.50,6929.50,1071.20,1430.50,1514.00
2011,24781.90,995.00,21005.10,673.30,19716.80,14708.80,932.50,560.8,1146.80,4159.50,8104.00,921.80,1200.20,1263.00
2012,50927.20,988.90,10358.70,547.00,17109.30,17789.00,757.80,533.8,817.90,4689.50,8304.20,741.80,1076.60,1153.10
2013,25892.70,1001.20,16853.90,558.50,21031.70,18224.30,864.70,639.4,1542.90,4611.30,8314.90,1247.80,1763.50,1792.40
2014,37627.10,995.00,17490.50,577.20,19767.50,19838.00,890.80,1056.3,1561.70,4573.10,8333.10,1334.40,2065.70,2208.80
2015,57610.00,988.90,11653.80,854.00,23203.90,19770.50,856.10,1241.6,1692.70,5222.70,8452.00,1211.70,2023.20,2097.40
2016,57609.00,982.70,11379.40,751.90,16779.70,19361.30,902.70,1440.6,1905.10,4422.90,8019.40,1550.90,2356.50,2260.50
2017,58149.50,976.60,16099.70,637.20,22275.90,21699.20,888.60,1546.4,1503.60,4855.90,8612.10,1294.10,2054.20,2063.00
