year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-19,-327,-460,113
1988,-53,-235,-520,-13
1989,-106,-301,-522,381
1990,-107,-312,-554,45
1991,68,-454,-557,-3
1992,-124,-289,-534,22
1993,-125,-210,-523,73
1994,-90,-310,-528,6
1995,-92,-426,-502,110
1996,66,-329,-494,82
1997,-88,-327,-418,224
1998,-74,-328,-486,-134
1999,-133,-389,-509,27
2000,-138,-191,-558,99
2001,70,-439,-518,7
2002,4,-419,-518,45
2003,-34,-445,-548,84
2004,-9,-457,-559,-14
2005,-154,-481,-577,17
2006,-37,-433,-549,76
2007,-108,-310,-519,-73
2008,-61,-335,-535,-62
2009,-49,-448,-601,74
2010,190,-336,-578,114
2011,-51,-314,-514,-29
2012,-181,-418,-548,44
2013,115,-419,-551,9
2014,-9,-385,-444,24
2015,-129,-373,-544,69
2016,-21,-288,-582,-9
