year,wheat,maize-for-grain-irrigated,triticale,processing-tomato-irrigated,permanent-grasslands,pepper
,Kg-ha,Kg-ha,Kg-ha,Tons-ha,Q-DM-ha,Kg-ha
2000,5052,10200,3200,,14.23,16667
2001,4203,12000,3100,,8.78,19333
2002,3877,10100,4000,,16.09,19826
2003,,9530,2500,59.07,15.85,22095
2004,,,,64.19,8.86
2005,2546,10200,1905,64.24,,21500
2006,4600,9300,2800,70.88,,23223
2007,3860,11520,2650,89.34,,27391
2008,3845,11050,2800,81.98,,33750
2009,3596,10515,1834,99.14,,38463
2010,3033,10254,1718,96.04,,33496
2011,3817,12668,2276,81.75,,38075
2012,3199,11627,906,98.33,,39640
2013,,11403,1687,73.70,,44559
2014,,12336,1203,112.41,,39850
2015,,,,101.45
2016,,,,84.96
2017,,,,97.85







