year,lentils,chickpea,rye,sunflower,triticale,vetch,vineyards,vineyards-irrigated,Ervil ,Wheat-rainfed,Barley-rainfed,Oat-rainfed,Field-pea-rainfed,Vetch-irrigated
,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,,kg/ha,kg/ha
2000
2001,850,650,700,200,1600,780,4809,8450,711,1432,2125,1048,850,3000
2002,620,660,1300,550,1600,670,2918,11698,800,1794,1318,1872,1270,3000
2003,550,570,900,550,1000,650,5930,9867,600,1238,1800,1000,700,7000
2004,694,580,967,620,1300,794,5400,10334,795,1689,2281,1623,610,12500
2005,100,97,546,300,703,120,5016,10301,130,653,789,573,530,4774
2006,750,600,950,469,1300,800,3390,9654,653,1605,2185,1550,870,4774
2007,850,800,1600,700,2200,1200,800,1500,1000,2352,3106,2150,1200,10550
2008,250,550,1492,825,2225,850,4315,9674,650,1804,2226,1353,750,8500
2009,450,550,840,800,1140,600,3200,7500,,1389,1695,1036,750,8500
2010,500,589,1900,800,1800,610,5153,13245,700,1728,1902,1799,750,8500
2011,600,700,1900,800,2200,700,4500,14700,700,2441,2250,1800,900,8500
2012,250,300,1400,350,1600,300,3702,14200,300,1497,1593,1475,250,2500
2013,1000,800,1700,900,2600,1100,9000,16500,1100,2795,3000,2300,1000,12000
2014,350,400,800,630,1500,550,5500,13400,450,1297,1696,900,480,8000
2015,420,380,630,460,1225,860,3680,10550,520,943,1338,580,920,4400
2016,860,1010,1350,550,1700,1130,4535,13500,1200,1703,3598,2000,2160,12000
2017
