year,winter-soft-wheat-rainfed,spring-soft-wheat-irrigated,rye-rainfed,maize-for-grain-rainfed,maize-for-grain-irrigated,grain-sorghum-rainfed,triticale-rainfed,lentils-rainfed,chickpea-rainfed,potatoes-irrigated,lucerne-rainfed,vineyards,vineyards-irrigated,sunflower-rainfed
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha
2000
2001,1432,3910,700,2200,8600,1600,1600,850,650,25165,10000,4809,8450,200
2002,1794,3910,1300,2200,11250,1600,1600,620,660,25165,12000,2918,11698,550
2003,1238,3910,900,2200,10750,,1000,550,570,23337,12300,5930,9867,550
2004,1689,2705,967,2200,11004,,1300,694,580,20372,12300,5400,10334,620
2005,653,1121,546,,11820,,703,100,97,22736,,5016,10301,300
2006,1605,3064,950,,11820,,1300,750,600,20308,,3390,9654,469
2007,2352,4379,1600,2500,14000,2200,2200,850,800,21078,,800,1500,700
2008,1804,4314,1492,2500,14000,2400,2225,250,550,21348,,4315,9674,825
2009,1389,4874,840,2500,14000,,1140,450,550,19315,10500,3200,7500,800
2010,1728,4598,1900,2500,13902,2000,1800,500,589,20457,10500,5153,13245,800
2011,2441,4973,1900,2500,14000,2000,2200,600,700,20460,10500,4500,14700,800
2012,1497,4959,1400,1500,10000,1900,1600,250,300,26568,12000,3702,14200,350
2013,2795,4969,1700,4000,12500,,2600,1000,800,38683,12000,9000,16500,900
2014,1297,3592,800,4000,12500,,1500,350,400,24563,20500,5500,13400,630
2015,943,3593,630,1100,9800,1200,1225,420,380,24895,8200,3680,10550,460
2016,1703,4624,1350,2300,10200,3300,1700,860,1010,28998,18000,4535,13500,550
2017
