year,wheat,barley,rye,grain-sorghum,maize-for-grain-rainfed,sunflower,winter-rapeseed,soybean,field-pea,beans-dry,olive-rainfed,almond-rainfed,grapes,tomatoe,apple
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,3.21,3.65,2.96,6.34,9.53,2.12,1.130,3.58,2.69,1.84,2.43,1.18,10.16,54.96,35.70
2001,2.80,3.38,2.86,6.20,9.51,1.97,1.060,3.81,3.10,1.93,2.59,1.20,10.45,51.71,36.70
2002,3.12,3.47,2.87,6.31,9.49,2.10,1.393,3.86,3.11,1.88,2.76,1.22,8.84,47.11,36.33
2003,2.75,3.30,2.56,5.18,7.48,1.57,1.375,2.61,3.03,1.42,3.05,1.07,8.96,50.97,34.32
2004,3.67,3.79,2.75,6.28,9.50,2.21,1.804,3.45,3.15,1.55,3.89,1.25,11.04,53.00,37.12
2005,3.64,3.79,2.97,5.86,9.37,2.23,1.748,3.63,3.09,2.16,3.23,1.42,10.79,51.79,38.36
2006,3.73,3.88,3.02,5.73,8.73,2.13,1.686,3.10,3.13,1.60,2.92,1.38,10.59,51.98,37.29
2007,3.41,3.55,2.95,5.68,9.31,2.21,2.090,3.13,3.23,2.01,2.80,1.41,9.45,52.12,39.81
2008,3.87,3.75,2.28,5.80,9.57,2.28,2.602,3.21,2.63,2.02,2.94,1.49,9.89,51.76,37.46
2009,3.59,3.42,2.54,6.10,8.60,2.26,2.024,3.48,2.67,1.88,2.76,1.34,10.28,55.64,39.79
2010,3.74,3.62,3.09,6.67,9.17,2.12,2.466,3.46,2.64,1.88,2.66,1.25,10.02,50.70,38.08
2011,3.83,3.52,2.96,7.10,9.80,2.32,2.338,3.40,2.63,1.89,2.78,1.39,10.26,57.29,42.41
2012,4.13,3.82,3.22,4.20,8.03,1.66,2.383,2.76,2.43,1.92,2.68,1.31,10.08,56.94,36.41
2013,3.84,3.69,2.97,6.21,8.70,2.23,2.148,3.39,2.27,2.22,2.56,1.31,11.41,55.90,40.11
2014,3.81,3.64,3.00,7.11,10.62,2.25,2.503,4.01,2.31,2.25,1.70,1.35,10.16,54.51,45.19
2015,3.93,3.93,3.21,6.48,9.73,2.17,2.293,3.62,2.35,2.08,2.38,1.21,11.76,59.80,45.20
2016,4.20,4.01,3.16,7.16,10.35,2.42,2.572,3.75,2.80,1.99,1.78,1.30,12.28,61.94,46.53
2017,3.86,3.93,3.09,5.88,9.37,2.13,2.660,3.16,2.85,1.86,2.28,1.38,10.70,60.31,35.85
