year,winter-durum--wheat-rainfed,rye-rainfed,rye-irrigated,oat-rainfed,oat-irrigated,triticale-rainfed,triticale-irrigated,maize-for-grain-rainfed,sunflower-rainfed,sunflower-irrigated,potatoes-rainfed,vetch-rainfed,apple-rainfed,winter-barley-rainfed
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,2.71,1.57,,1.99,3.00,2.00,4.00,10.61,0.45,2.65,23.78,2.20,5.21,3.03
2001,2.37,0.65,,1.10,2.30,2.00,4.00,11.04,0.70,1.70,30.00,2.84,8.33,2.33
2002,2.80,1.00,2.10,1.70,2.90,2.20,4.00,11.49,0.80,1.80,34.41,3.35,8.47,2.70
2003,3.09,1.00,,1.70,2.90,2.20,4.00,13.98,0.80,1.80,29.97,2.27,6.90,2.71
2004,2.94,0.10,2.10,1.70,2.90,2.20,4.00,13.05,0.80,1.80,29.98,2.58,4.11,3.45
2005,1.46,0.56,,0.90,1.89,1.10,2.60,11.62,0.24,0.90,25.02,0.41,4.11,1.71
2006,3.03,0.70,,1.52,2.90,2.20,4.00,11.94,0.60,1.70,24.96,0.89,4.11,2.78
2007,4.33,3.61,,2.06,3.09,2.93,4.40,12.80,1.29,2.20,24.89,1.01,2.73,3.79
2008,3.47,2.88,4.31,1.84,2.76,2.13,3.32,9.89,0.72,1.44,29.81,0.59,2.73,2.86
2009,2.52,0.72,1.23,1.37,2.33,1.70,3.28,11.45,0.70,1.40,34.80,0.04,2.75,2.38
2010,2.41,1.41,1.98,2.67,3.74,1.25,1.75,12.75,0.80,1.60,32.59,0.79,1.91,1.96
2011,3.29,2.81,3.93,2.07,3.64,2.38,3.34,13.47,0.57,1.13,32.08,0.61,2.04,3.42
2012,3.83,1.48,,1.32,2.32,3.14,4.39,14.49,0.60,2.20,32.31,0.11,2.05,2.78
2013,5.22,4.37,,2.05,3.62,4.10,5.74,13.63,0.70,2.50,23.17,0.64,2.07,4.37
2014,1.98,1.24,2.29,1.15,2.15,1.42,2.31,12.95,0.65,2.40,24.72,0.81,1.50,1.60
2015,2.67,1.56,2.30,1.69,2.20,1.82,2.35,12.51,0.75,2.50,25.00,0.68,1.50,2.16
2016,2.68,1.56,2.30,1.69,2.20,1.82,2.35,12.51,0.75,2.50,28.13,0.68,1.30,2.18
2017
