year,winter-durum--wheat-rainfed,rye-rainfed,winter-barley-rainfed,oat-rainfed,triticale-irrigated,triticale-rainfed,sunflower-rainfed,sunflower-irrigated,potatoes-rainfed,vetch-rainfed,apple-rainfed,maize-for-grain-rainfed
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,2.70,1.60,3.00,2.00,4,2.00,0.50,2.70,23.80,2.20,5.20,10.60
2001,2.40,0.70,2.30,1.10,4,2.00,0.70,1.70,30.00,2.80,8.30,11.00
2002,2.80,1.00,2.70,1.70,4,2.20,0.80,1.80,34.40,3.40,8.50,11.50
2003,3.10,1.00,2.70,1.70,4,2.20,0.80,1.80,30.00,2.30,6.90,14.00
2004,2.90,0.10,3.40,1.70,4,2.20,0.80,1.80,30.00,2.60,4.10,13.00
2005,1.50,0.60,1.70,0.90,2.6,1.10,0.20,0.90,25.00,0.40,4.10,11.60
2006,3.00,0.70,2.80,1.50,4,2.20,0.60,1.70,25.00,0.90,4.10,11.90
2007,4.30,3.60,3.80,2.10,4.4,2.90,1.30,2.20,24.90,1.00,2.70,12.80
2008,3.50,2.90,2.90,1.80,3.3,2.10,0.70,1.40,29.80,0.60,2.70,9.90
2009,2.50,0.70,2.40,1.40,3.3,1.70,0.70,1.40,34.80,0.00,2.80,11.50
2010,2.40,1.40,2.00,2.70,1.7,1.20,0.80,1.60,32.60,0.80,1.90,12.80
2011,3.30,2.80,3.40,2.10,3.3,2.40,0.60,1.10,32.10,0.60,2.00,13.50
2012,3.80,1.50,2.80,1.30,4.4,3.10,0.60,2.20,32.30,0.10,2.10,14.50
2013,5.20,4.40,4.40,2.10,5.7,4.10,0.70,2.50,23.20,0.60,2.10,13.60
2014,2.00,1.20,1.60,1.20,2.3,1.40,0.70,2.40,24.70,0.80,1.50,12.90
2015,2.70,1.60,2.20,1.70,2.4,1.80,0.80,2.50,25.00,0.70,1.50,12.50
2016,2.70,1.60,2.20,1.70,2.4,1.80,0.80,2.50,28.10,0.70,1.30,12.50
2017
