year,wheat-rainfed,rye,rye-irrigated, barley-rainfed,tirticale,maize-for-grain-rainfed,sunflower,ervil,field-pea-rainfed,lentils,vetch,almond-irrigated,Almond-rainfed,vineyards
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,kg/ha,Kg-ha,Kg-ha
2000,3480,2000,4100,3300,2400,9850,650,900,800,750,1050,2200,297,4200
2001,1860,1270,3900,1800,2100,10100,550,720,550,570,800,1700,500,3721
2002,2900,2000,4100,3000,2400,13000,700,720,550,570,800,1500,275,2115
2003,2935,2000,4100,2780,1800,11600,620,720,550,700,800,2100,695,4100
2004,3080,1950,4080,2955,2300,10600,880,900,950,750,850,1200,340,4070
2005,1200,680,2300,850,1100,12600,460,250,250,300,280,1200,500,4070
2006,2900,1900,4100,2650,2500,13000,520,900,950,750,850,1200,500,3300
2007,3750,2600,4500,4000,3800,15000,650,1200,1500,800,1100,1400,500,3350
2008,3450,2100,5000,3500,2700,13000,700,1050,1300,750,950,,500,3950
2009,2400,2000,3500,2200,2500,12000,600,1000,1000,750,950,3000,300,3950
2010,2700,2400,5000,2500,2500,13000,1000,1000,800,800,2000,,500,4000
2011,3000,2500,4500,3000,2500,12000,999,1500,1480,800,1450,4000,1500,5000
2012,2000,1500,2500,1500,1000,12000,900,1000,1500,500,1000,,880,4223
2013,3200,2000,4500,3100,2900,12000,900,1000,1500,500,1000,700,500,4800
2014,2000,1500,3000,1700,1800,12000,900,1000,1500,500,1000,700,500,4500
2015,1798,1501,3000,1700,800,12000,850,1000,1000,500,900,700,500,3662
2016,2467,1500,5000,3000,1800,12000,1200,1200,1500,700,1200,700,500,4000
2017
