year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha
2000,25,25,25,95,30,,95,68,12,63,6.0,11.0
2001,20,20,20,95,20,15,90,63,11,56,3.0,8.0
2002,35,30,30,100,30,,90,60,19,54,8.0,18.0
2003,18,15,15,75,,18,85,63,15,48,2.0,12.0
2004,35,30,35,95,10,18,95,68,32,60,5.0,16.0
2005,35,30,40,100,20,30,90,68,31,58,6.0,15.0
2006,35,30,35,85,25,30,85,66,26,58,4.0,12.0
2007,35,30,35,95,25,30,90,61,26,52,5.0,16.0
2008,30,25,30,20,25,30,95,68,32,50,5.0,7.0
2009,30,30,30,100,20,25,95,68,31,55,12.0,7.0
2010,30,25,30,100,20,25,95,68,30,67,3.0,5.0
2011,30,25,30,100,20,25,87,66,22,64
2012,35,30,35,110,25,25,67,60,41,63
2013,35,30,35,110,25,20,67,60,44,70,17.2,3.2
2014,35,30,35,110,25,20,67,58,28,64,3.3,7.5
2015,35,30,35,110,35,20,67,56,27,72,12.1,6.1
2016,30,30,30,120,40,20,67,60,41,70,10.8,8.2
2017,35,35,35,120,30,20,67,48,15,58,6.4,7.3
