year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,42,112,4
1988,50,120,1
1989,35,120,2
1990,25,122,1
1991,37,116,2
1992,28,103,3
1993,32,117,3
1994,37,104,3
1995,40,113,1
1996,38,114,4
1997,28,114,3
1998,47,120,2
1999,44,111,2
2000,46,122,3
2001,65,124,3
2002,42,115,0
2003,32,104,4
2004,47,116,2
2005,40,118,2
2006,31,113,3
2007,34,117,2
2008,33,113,4
2009,49,117,2
2010,46,115,2
2011,28,112,2
2012,36,123,3
2013,34,122,1
2014,31,122,3
2015,34,122,3
2016,39,116,3
2016
2017,33,98,3
2018,32,102,3
2019,38,116,4
2020,27,108,4
2021,49,115,2
2022,17,103,3
2023,32,117,3
2024,26,122,3
2025,40,117,4
2026,28,109,2
2027,31,99,3
2028,30,112,2
2029,30,112,4
2030,28,103,4
2031,17,102,3
2032,33,119,3
2033,30,116,3
2034,25,111,3
2035,30,113,2
2036,35,114,3
2037,41,107,3
2038,33,112,4
2039,35,107,3
2040,17,114,3
2041,25,116,2
2042,29,123,2
2043,22,125,2
2044,31,120,3
2045,40,108,4
2046,30,119,4
