year,rye-rainfed,oat-rainfed,oat-irrigated,barley-rainfed,barley-irrigated,rapeseed-rainfed,rapeseed-irrigated,sunflower-rainfed,sunflower-irrigated,lentils-rainfed,chickpea-rainfed,potato-irrigated,vineyards-rainfed,grapes-rainfed
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha
2000,1500,2500,4000,2500,4000,450,1100,675,2015,500,500,23050,2500,2500
2001
2002,755,890,2645,1459,2665,400,1200,400,1400,500,500,,2300,2300
2003,800,1000,3000,3500,3900,400,1200,400,1400,500,500,12672,3200,3200
2004
2005,1900,1000,4000,1500,4000,400,,600,1900,250,300,30000,3000,3000
2006,900,1100,3800,2200,4000,1200,27,599,2200,400,400,30000,3075,3000
2007,1800,1800,3800,3200,4000,600,1200,600,2200,600,600,30000,3950,4000
2008,1500,1000,2000,1700,3957,1000,2500,700,2000,491,473,,2718,2110
2009,1162,1010,2300,2274,4234,899,2300,647,1774,508,625,27380,4300,2393
2010,1219,1160,2320,2280,4152,898,2300,647,1774,500,502,25000,3710,5000
2011,1811,1095,2500,2395,4220,1228,3000,750,1761,694,709,25000,3489,5000
2012,1050,963,4765,963,4765,998,2700,550,1868,503,512,25000,2650,4000
2013,1399,3343,5004,3343,5004,587,2500,366,2391,1007,1059,34000,4241,1333
2014,1501,1011,2301,2055,3595,1000,2500,597,1770,500,521,3454,4110,393
2015,1501,1011,2305,1956,4268,1000,2500,597,1770,500,502,35947,4110,1100
2016,2000,1523,3683,3006,5126,1000,2500,597,2000,495,500,43637,5500,1172
2017,1500,800,4476,1699,4476,999,2500,496,2341,495,458,35000,3900,1174
