year,wheat-rainfed,rye-rainfed,barley-rainfed,oat-rainfed,maize-for-grain-irrigated,wheat-irrigated,oat-irrigated,rye-irrigated,barley-irrigated,sunflower-rainfed,vetch-rainfed,lentils-rainfed,chickpeas-rainfed,fodder-vetch-rainfed,sugar-beet-irrigated,vineyards
,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
2000,3700,2300,3849,2000,8500,5000,3000,3000,4877,950,1000,600,600,12000,65000,7500
2001,1200,600,1270,400,8500,4000,2500,2500,4325,1100,400,300,500,10000,76000,5150
2002,2500,1700,2500,1400,9000,5000,3000,3000,4760,870,800,500,600,5000,85186,3300
2003,2800,1800,2796,1200,8500,5000,2800,2800,4631,800,800,500,600,5000,75000,3000
2004,3500,2000,3403,1700,9000,5700,2800,3100,5605,1100,700,600,800,8000,78300,7500
2005,1300,900,1400,1000,6000,3800,2500,2400,4190,600,400,400,800,8000,78000,6365
2006,2000,1400,2290,1600,8000,4500,3000,3000,4771,800,700,600,700,8000,80000,6772
2007,4550,2650,4262,2550,8000,6100,3300,3400,6012,1100,800,600,600,8000,81800,4800
2008,3950,2500,4052,2400,8000,6000,3200,3400,5888,1000,750,600,550,9600,80000,4225
2009,1900,1100,1801,1100,8000,5500,3200,4000,5412,800,800,700,600,10000,75000,4000
2010,3300,2500,3000,2000,8000,5000,3500,4000,5000,1100,800,700,800,20000,80000,3000
2011,3559,2600,3100,1600,8000,4530,3000,4000,5000,1000,700,700,500,20000,100058,5500
2012,2562,1547,2130,1176,8000,4037,3040,3258,4616,600,400,600,500,15000,94309,5000
2013,3395,3000,3290,1800,8100,4198,3385,3619,3830,800,768,700,749,20000,81478,6000
2014,2368,1465,1868,1312,9000,2781,2500,2307,2595,1100,693,443,700,18000,108809,6500
2015,2590,1360,2371,1185,10000,3940,3000,3000,3400,800,800,700,700,16000,96344,6000
2016,3916,2581,3322,2277,10000,5140,3015,3000,4000,700,1000,800,800,16000,91905,7460
2017,1171,738,1200,651,11000,2739,2450,,3019,1000,250,400,500,4000,91027
