year,winter-durum--wheat,winter-barley,spring-barley,oat-rainfed,maize-for-grain-irrigated,sunflower-irrigated,field-pea-rainfed,vineyards,vineyards-irrigated
,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha
2000,,,,,,,,,
2001,,2.46,,1.6,9.91,1.85,1.5,2.79,6.41
2002,4.2,2.93,4.12,0.89,10.62,2.36,,4.91,5.21
2003,5.67,3.58,4.19,1.26,10.3,1.67,0.5,2.9,6.61
2004,5.53,3.37,4.35,1.74,10.14,2.44,2.4,5.76,7.69
2005,2.9,1.31,2.24,0.65,10.14,1.07,1.58,4.69,7.28
2006,,2.83,3.84,1.96,10.38,2.31,2.2,3.54,5.88
2007,2.58,3.03,4.07,2.59,11.01,1.46,,3.59,4.85
2008,4.5,2.28,4.06,0.93,11.27,2.09,,5.68,7.3
2009,2.43,3.11,4.48,1.5,11.65,2.67,2.89,4.79,6.34
2010,3.05,3.08,4.33,2.41,12.26,2.8,4.2,5.75,7.06
2011,3.81,2.76,4.67,1.4,12.25,2,4.91,3.99,7.39
2012,3.84,1.62,4.43,3.95,11.99,2.85,3.08,2.97,5.15
2013,,3.49,5.39,2.22,12.8,2.85,1.64,4.64,6.54
2014,4.44,2.44,5.11,1.33,12.1,0.31,2.62,2.33,7.83
2015,3.92,2.72,4.84,1.58,12.93,2.64,2.61,4.96,6.74
2016,7.13,3.69,5.55,3.54,13.09,2.5,2.17,3.99,6.44
2017,,,,,,,,,
