year,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed
,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha
2000,31,14,35,15.0,5.0
2001,42,34,36,1.0,5.0
2002,36,21,34,7.0,5.0
2003,35,11,32,4.0,4.0
2004,48,33,37,3.0,5.0
2005,48,33,40,16.0,5.0
2006,47,23,38,1.0,10.0
2007,42,13,29,1.0,13.0
2008,48,30,36,1.0,6.0
2009,49,29,35,2.0,6.0
2010,48,29,41,1.2,5.0
2011,48,21,40
2012,60,41,36
2013,60,44,41,5.4
2014,58,29,41,0.7
2015,56,31,39,1.3
2016,58,36,44,0.9,9.0
2017,54,21,31,0.8,9.0
