year,wheat-rainfed,wheat-irrigated,barley-rainfed,barley-irrigated,rye,oat-rainfed,oat-irrigated,maize-for-grain-irrigated,sunflower-irrigated,field-pea-irrigated,chickpea-irrigated,potato-irrigated,sugar-beet-irrigated,vineyards,vineyards-irrigated
,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha
2000
2001,1.83,3.01,1.49,,0.86,1.10,1.90,9.50,2.00,0.70,0.50,35.00,65.00,1.86
2002,2.40,4.45,2.18,3.48,1.71,1.89,3.09,9.39,1.96,2.20,1.33,43.90,76.58,3.87,3.46
2003,2.62,4.42,2.61,3.56,0.88,1.30,1.81,10.78,2.08,1.57,1.58,39.78,78.10,4.30,5.42
2004,2.18,4.29,2.80,4.25,0.95,1.32,2.00,10.63,2.08,1.49,1.70,44.83,81.71,5.12,5.43
2005,2.09,4.57,2.09,3.44,0.89,1.04,2.47,11.21,2.50,,0.54,42.86,81.68,3.89,6.40
2006,2.55,4.93,2.75,4.28,1.17,1.45,0.60,11.70,2.73,1.10,0.66,46.07,88.67,4.18,5.49
2007,3.46,5.59,3.60,4.91,1.50,2.39,3.91,11.30,1.77,0.80,0.34,51.54,88.42,3.82
2008,3.77,4.77,4.19,5.28,1.42,2.66,2.19,11.05,1.46,1.20,0.80,44.78,87.15,4.08,4.00
2009,1.45,3.42,1.48,4.11,0.82,0.93,2.61,10.73,2.68,1.60,0.56,53.31,89.26,3.95,5.65
2010,2.50,3.97,2.64,4.01,1.09,1.71,3.80,10.49,1.79,1.10,0.73,41.49,86.92,4.54,7.20
2011,3.16,5.42,3.01,4.09,1.51,2.06,4.42,11.24,2.31,2.56,0.68,48.43,76.94,2.87,7.00
2012,2.20,5.74,2.45,3.93,1.21,1.07,3.50,11.00,3.00,0.76,0.92,47.68,99.34,2.82
2013,3.58,5.74,3.17,4.26,1.34,1.74,2.29,11.52,3.00,1.44,0.64,45.98,87.85,3.55
2014,2.34,4.51,1.96,3.23,0.90,0.98,,12.78,3.51,0.90,0.61,33.28,78.92,3.29,7.90
2015,2.52,5.24,2.28,4.14,1.17,1.17,3.50,12.73,2.27,3.80,0.32,43.39,100.45,4.70,4.95
2016,3.84,5.38,3.92,4.76,1.75,1.44,3.36,11.17,2.39,2.62,0.64,45.06,96.08,5.57
2017
