year,wheat-rainfed,wheat-irrigated,barley-rainfed,barley-irrigated,rye,oat-rainfed,maize-for-grain-irrigated,sunflower-irrigated,field-pea-irrigated,ervil,lentils,chickpea,potato-irrigated,sugar-beet-irrigated,vineyards,vineyards-irrigated
,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha
2000
2001,1.59,5.01,1.89,,0.90,0.90,11.04,1.46,1.10,0.60,0.60,0.60,40.16,76.50,4.50,8.00
2002,1.74,4.39,1.61,3.34,1.71,1.89,9.87,1.94,2.50,0.15,0.80,0.57,40.28,76.23,4.45,5.38
2003,2.96,4.95,2.65,4.25,0.87,0.82,11.15,1.26,1.25,0.68,0.79,0.66,41.02,76.73,4.51,7.12
2004,2.77,3.82,2.84,3.80,1.14,1.07,10.67,1.01,1.80,0.71,0.61,0.40,42.29,79.27,5.51,7.15
2005,1.47,3.22,1.49,3.42,0.50,0.73,9.99,1.81,1.08,0.40,0.35,0.50,37.99,78.25,4.41,5.39
2006,2.09,2.76,2.45,3.32,0.79,1.06,14.00,1.98,2.10,0.75,0.44,0.83,42.94,84.31,5.19,5.54
2007,3.50,5.18,3.53,4.59,1.74,2.38,10.12,1.50,1.67,0.35,0.25,0.36,42.40,89.06,6.34,8.90
2008,4.58,5.34,4.34,4.85,1.60,2.74,9.92,1.98,2.00,1.00,0.99,0.79,47.11,82.90,4.27,4.78
2009,1.79,3.67,1.66,3.42,1.25,1.17,10.89,1.42,2.20,0.51,0.47,0.32,50.74,94.55,4.89,5.89
2010,2.80,4.82,2.81,3.86,2.00,1.62,9.33,1.87,2.41,0.69,0.72,0.67,46.83,94.03,3.66,6.13
2011,3.42,4.98,3.33,5.00,2.10,2.12,11.34,2.72,2.67,0.90,0.77,0.72,46.53,97.72,4.55,3.67
2012,2.50,4.50,2.38,4.49,1.89,1.33,11.00,2.00,2.67,0.48,0.58,0.56,46.18,93.41,4.87,9.00
2013,3.87,4.71,3.37,4.06,2.51,2.17,11.00,2.50,2.31,1.62,0.93,,46.93,82.93,5.82,12.70
2014,2.18,4.55,2.00,3.86,1.35,1.30,11.54,2.54,1.76,0.32,0.41,0.51,53.39,99.18,3.55,6.95
2015,2.63,5.10,2.20,4.60,1.83,1.24,12.40,2.46,2.39,0.45,0.76,0.56,48.25,111.55,4.23,6.60
2016,4.30,5.54,4.24,5.27,3.37,2.37,12.12,2.10,2.00,0.87,0.75,1.37,51.62,109.10,6.31,8.55
2017
