year,wheat-rainfed,barley-rainfed,rye,oat-rainfed,maize-for-grain-irrigated,sunflower,potato-irrigated,sugar-beet-irrigated,vineyards
,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha
2000
2001,0.84,1.07,0.64,0.63,5.89,0.57,14.97,52.28,4.83
2002,1.79,1.79,1.02,1.08,5.73,0.56,16.16,71.22,4.20
2003,0.86,1.13,0.89,0.72,5.68,0.49,16.08,64.61,4.66
2004,1.56,1.65,0.95,1.10,5.79,0.49,16.99,74.97,4.82
2005,0.66,0.77,0.78,0.47,4.68,0.34,14.73,70.15,4.76
2006,2.38,2.39,1.01,1.62,5.29,0.53,16.11,74.86,5.06
2007,1.86,1.99,1.02,1.35,5.84,0.80,16.77,86.45,4.16
2008,2.30,2.32,1.04,1.67,6.33,0.66,15.75,86.38,4.00
2009,1.70,1.78,0.95,1.21,6.69,0.54,16.44,48.98,4.33
2010,1.43,1.51,0.86,1.07,6.93,0.54,15.03,25.70,5.26
2011,1.20,1.26,0.93,0.92,8.10,0.56,14.71,24.78,4.16
2012,1.08,1.15,0.76,0.74,8.30,0.53,17.79,50.93,4.69
2013,1.76,1.79,0.86,1.25,8.31,0.64,18.22,25.89,4.61
2014,2.07,2.21,0.89,1.33,8.33,1.06,19.84,37.63,4.57
2015,2.02,2.10,0.86,1.21,8.45,1.24,19.77,57.61,5.22
2016,2.36,2.26,0.90,1.55,8.02,1.44,19.36,36.42,4.42
2017

