year,lentils,lucerne,chickpea,rye,sunflower,vetch,vineyards,vineyards-irrigated,Ervil ,Wheat-rainfed,Barley-rainfed,Oat-rainfed,Field-pea-rainfed,Fodder-vetch-rainfed
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,1.10,18.00,1.05,1.98,0.78,1.10,,,0.93,4.00,3.58,1.65,1.24,14.00
2001,0.20,33.00,0.40,1.02,1.00,0.58,1.53,,0.60,2.30,1.24,1.34,0.55,15.00
2002,0.30,23.00,0.40,2.60,0.75,0.40,2.25,,0.41,2.11,1.77,2.20,0.50,12.00
2003,0.84,31.80,0.75,2.10,0.93,1.20,3.15,,1.20,3.01,2.47,2.50,2.10,18.00
2004,0.55,20.00,0.80,2.05,0.86,1.00,,,0.90,3.20,3.14,2.59,1.80,15.00
2005,0.50,14.00,0.70,2.84,0.62,0.50,2.20,3.00,0.40,2.05,1.97,2.38,1.00,10.00
2006,1.00,13.86,0.70,1.97,1.10,0.70,3.05,3.60,0.60,2.36,3.02,1.86,1.47,14.80
2007,0.70,13.50,1.00,3.10,1.10,0.80,2.75,3.60,0.60,3.81,3.95,3.44,1.50,17.75
2008,0.70,13.50,1.00,3.81,1.10,1.10,2.30,3.50,1.50,3.75,4.64,4.30,1.40,17.75
2009,0.70,14.00,0.80,2.16,1.20,0.90,,,0.90,2.34,2.23,1.89,0.50,17.76
2010,1.00,16.50,0.95,2.50,1.36,1.36,2.29,3.43,1.40,3.26,3.11,3.32,1.47,17.70
2011,0.60,15.00,0.80,3.19,1.40,1.30,3.54,4.67,1.80,3.89,3.17,3.26,1.00,15.00
2012,0.40,6.00,0.63,2.03,0.50,0.51,3.01,3.80,0.70,2.47,2.15,1.93,0.70,14.25
2013,1.11,17.00,1.01,2.16,1.40,1.69,3.33,3.80,1.69,4.32,3.95,2.89,1.80,15.01
2014,0.40,12.00,0.60,2.48,1.00,1.00,3.30,3.80,0.98,3.03,2.63,2.53,0.80,10.00
2015,0.30,8.00,0.82,2.62,1.00,0.60,2.89,3.00,0.70,3.16,2.91,2.70,1.00,12.09
2016,0.80,16.00,1.01,2.16,0.90,1.70,3.50,6.00,2.00,4.46,4.55,3.58,2.30,18.01
2017
