year,winter-soft-wheat,winter-barley,winter-durum--wheat,triticale,maize-for-grain,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,29,18,29,27,60,65,45,46,31.0,10.0,349
2001,25,32,27,30,85,65,35,38,24.0,8.0,320
2002,25,20,40,30,80,52,44,38,25.0,12.0,350
2003,25,20,40,25,60,45,36,39,29.0,12.0,380
2004,30,27,52,35,90,47,36,41,18.0,13.0,380
2005,20,20,40,24,85,33,22,40,23.0,9.0,400
2006,25,26,35,26,85,27,24,38,11.7,8.0,374
2007,21,18,35,20,80,39,28,32,10.3,6.0,343
2008,28,15,22,20,85,40,29,34,18.0,6.0,336
2009,28,20,22,20,85,48,37,28,23.3,6.0,343
2010,28,20,33,44,86,37,29,29,21.5,2.7,360
2011,30,30,33,40,100,41,30,42,11.0,3.4,320
2012,30,30,36,40,80,29,25,29,18.8,4.1,365
2013,40,39,45,40,80,51,38,33,19.1,2.7,250
2014,29,30,25,40,100,24,24,35,11.0,3.9,226
2015,30,35,40,40,70,34,26,37,25.2,2.6,220
2016,28,27,31,41,75,28,23,30,18.6,3.3,233
2017,43,30,40,40,70,28,25,31,20.8,3.9,300
