year,wheat-rainfed,rye-rainfed,barley-rainfed,oat-rainfed,maize-for-grain-irrigated,wheat-irrigated,oat-irrigated,rye-irrigated,sunflower-irrigated,sunflower-rainfed,vetch-rainfed,lentils-rainfed,chickpeas-rainfed,fodder-vetch-rainfed,chickpea-irrigated,vineyards
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha
2000,4000,1980,3583,1650,6400,5250,3640,2630,1650,780,1100,1100,1050,14000,1100,3660
2001,2300,1016,1243,1340,4650,4133,3827,2977,2000,998,580,200,400,15000,1200,1590
2002,2110,2600,1769,2200,4910,3400,3000,3000,750,750,400,300,400,12000,750,2250
2003,3005,2100,2466,2500,8550,4100,3000,2500,1000,930,1200,840,750,18000,800,3150
2004,3199,2050,3143,2590,9000,4530,3530,3010,1841,855,1000,550,800,15000,900,3173
2005,2050,2840,1969,2380,9000,4400,3000,3470,1821,615,500,500,700,10000,900,2200
2006,2360,1970,3016,1860,9000,4450,3000,3460,1600,1100,700,1000,700,14800,730,3050
2007,3805,3103,3946,3438,7500,5039,3398,3500,1600,1100,800,700,1000,17750,1200,2750
2008,3749,3811,4635,4303,7000,5538,4931,4380,1322,1100,1100,700,1000,17750,1200,2300
2009,2342,2159,2232,1887,9000,4544,3900,3549,1403,1203,900,700,800,17760,1000,3122
2010,3262,2504,3106,3316,,5333,3983,3413,1577,1360,1360,1000,946,17700,1470,2293
2011,3887,3191,3171,3255,8500,5551,4500,4572,2500,1400,1300,600,800,15000,1000,3539
2012,2471,2029,2155,1934,,4124,3114,3928,2277,500,511,398,628,14250,1190,3013
2013,4318,2158,3949,2890,,5419,3551,3423,2204,1400,1692,1110,1012,15014,1200,3331
2014,3032,2476,2629,2525,,4945,5126,3852,2500,1000,1000,400,600,10000,1274,3290
2015,3162,2621,2910,2704,,5438,4071,4888,2500,1000,600,300,818,2043,1500,2881
2016,4461,2160,4552,3579,,5819,4503,4533,1998,900,1699,800,1010,1705,1010,3500
2017,1125,1154,751,1242,,3243,2962,2400,1800,600,300,300,500,500,500
