year,lentils,lucerne,chickpea,rye,sunflower,vetch,vineyards,vineyards-irrigated,ervil,wheat-rainfed,barley-rainfed,oat-rainfed,field-pea-rainfed,fodder-vetch-rainfed
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,0.80,31.00,1.00,2.81,1.10,1.40,,,,4.22,3.91,2.99,2.50,20.00
2001,0.80,30.00,1.00,1.41,1.07,0.80,2.79,,0.70,2.82,2.20,1.79,1.80,20.00
2002,0.80,30.00,0.90,2.44,1.22,0.90,3.11,3.84,0.80,4.05,2.98,2.60,2.00,15.00
2003,0.80,29.00,1.10,2.19,1.01,1.30,4.51,4.51,,3.77,2.85,2.55,2.00,14.50
2004,0.90,29.00,1.00,2.61,1.26,1.40,,,,4.17,3.62,3.42,1.80,15.00
2005,0.90,30.00,0.90,1.80,0.71,0.90,,,,2.85,2.11,1.90,1.20,10.00
2006,0.90,30.00,1.20,2.31,1.46,1.10,3.18,3.26,0.90,3.60,2.94,2.59,1.20,13.00
2007,1.00,25.00,1.10,3.54,1.33,1.30,5.45,5.68,1.00,4.77,4.49,3.85,1.50,16.30
2008,0.90,25.00,0.90,3.00,1.20,1.30,3.66,4.65,1.20,4.66,4.45,4.05,1.60,16.30
2009,0.90,30.00,0.90,2.30,1.30,1.30,,,,3.56,3.03,2.80,1.60,16.50
2010,0.80,30.00,1.00,2.90,1.27,1.50,3.58,4.56,1.30,4.34,3.41,3.30,1.80,16.50
2011,1.00,27.50,1.10,2.89,1.38,1.50,3.58,4.56,1.30,4.57,3.83,3.38,1.50,16.50
2012,0.70,23.51,0.85,2.88,1.10,1.14,4.00,5.00,1.11,3.83,3.39,3.06,1.33,18.56
2013,0.90,20.00,0.99,3.43,1.20,1.49,4.36,5.50,1.50,4.70,4.29,3.65,1.70,20.00
2014,0.46,25.86,0.50,2.59,1.20,1.20,,,,4.17,3.55,3.29,1.30,19.06
2015,0.62,20.50,0.71,2.60,1.10,1.00,4.11,5.21,1.00,3.80,3.21,3.11,1.10,14.96
2016,0.70,25.00,0.70,3.61,1.00,1.50,6.44,6.99,1.40,4.71,4.34,3.95,1.70,19.98
2017,0.50,12.00,0.60,1.62,1.08,0.60,2.13,3.20,0.50,2.66,1.61,2.25,0.80,8.00
