year,wheat-rainfed,wheat-irrigated,winter-durum--wheat,barley-rainfed,barley-irrigated,oat-rainfed,maize-for-grain-irrigated,sunflower-irrigated,field-pea-rainfed,vineyards,vineyards-irrigated
,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha
2000
2001,,4.30,,2.72,,3.52,8.34,1.30,2.41,6.12,6.71
2002,4.62,4.48,3.88,2.73,3.81,4.32,8.24,1.70,2.11,4.59,6.00
2003,4.52,4.52,3.42,4.01,3.96,4.34,7.93,1.73,1.59,5.81,6.39
2004,4.31,4.66,4.10,4.08,3.71,4.45,7.72,1.60,1.86,7.00,7.83
2005,5.32,4.58,5.37,3.95,3.21,4.79,8.00,1.74,1.79,5.70,7.00
2006,4.45,5.08,5.01,3.92,5.38,4.49,9.80,1.92,0.81,7.80,8.31
2007,4.32,4.49,5.06,,4.22,3.92,9.03,1.80,1.61,7.27,7.27
2008,4.17,4.63,0.91,2.40,3.44,4.16,,2.90,1.31,7.26,7.17
2009,4.83,4.34,4.62,3.48,4.13,4.49,8.74,2.43,1.00,7.61,7.37
2010,4.89,5.17,3.21,4.15,4.13,4.86,8.57,3.82,2.36,6.70,7.77
2011,4.79,5.05,5.37,3.52,5.16,4.52,10.26,3.68,2.18,6.94,6.96
2012,3.78,4.42,3.38,2.68,4.21,5.04,10.81,2.11,2.02,5.01,5.96
2013,5.18,4.61,4.45,4.53,5.34,4.95,10.59,2.16,3.12,5.84,6.33
2014,4.65,6.20,5.60,3.16,5.36,4.23,9.83,2.04,1.89,7.58,7.16
2015,4.80,5.11,4.95,3.94,5.20,4.79,11.77,2.23,1.15,7.48,8.14
2016,4.80,5.75,,4.10,5.41,3.85,11.83,3.11,1.20,7.62,8.23
2017
