year,wheat-irrigated,barley-rainfed,barley-irrigated,rye,maize-for-grain-irrigated,sunflower-irrigated,potato-irrigated,sugar-beet-irrigated,vineyards,vineyards-irrigated
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000
2001,4.4,2.75,,2.2,8.81,1.78,43.35,79.19,6.41,8.34
2002,4.1,2.07,3.59,2.85,10.38,1.6,,76.41,6.13,6.57
2003,5.12,4.11,3.91,3.63,8.7,0.7,42.76,78.73,7.95,7.56
2004,5.5,3.7,3.73,3.35,8.2,,46.81,80.58,7.04,6.93
2005,4.7,3.58,4,3,8.49,2.5,42.19,73.31,6.79,6.68
2006,4.91,4.58,4.89,2.66,9.02,2.31,56.51,77.86,6.69,7.35
2007,5.13,4.14,5.13,4,8.7,,54.61,79.45,7.98,7.28
2008,4.89,3.7,4.42,3.06,11.96,1.62,45.55,84.16,6.82,7.88
2009,4.54,3.13,4.09,2,,2.1,50.13,87.83,5.57,7.72
2010,4.89,3.45,4.41,2.15,8.9,2.1,59.43,97.28,6.38,7.07
2011,4.87,2.43,4.26,6.03,9.24,2,58.46,94.48,6.58,11.11
2012,4.78,2.94,3.71,2.76,9.5,2.3,46.77,105.54,5.38,7.14
2013,5.18,4.68,4.41,3.02,9.11,2.8,43.99,91.7,5.69,7.21
2014,4.97,2.97,4.37,2.93,10,,40.74,90,7.08,16.91
2015,4.92,3.51,4.53,3,9.85,2.3,44.93,99.64,7.04,7.55
2016,5.3,4.24,4.15,3.68,6.5,1.65,37.28,99.26,6.75,7.19
2017
