year,winter-soft-wheat-rainfed,winter-durum--wheat-irrigated,maize-for-grain-rainfed,maize-for-grain-irrigated,sunflower-rainfed,field-pea-rainfed ,potato-irrigated,maize-silage-irrigated,fodder-beet,vineyards,vineyards-irrigated,barley-rainfed,barley-irrigated,oat-rainfed
,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha,t/ha
2000
2001,,, 4.42   , 8.34   , 1.30   , 2.41   , 24.69   , 46.73   , 69.15   , 6.71   , 6.12   , 2.72   ,, 3.52   
2002, 4.62   , 3.88   , 4.41   , 8.24   , 1.70   , 2.11   , 26.34   , 46.29   ,, 6.00   , 4.59   , 2.73   , 3.81   , 4.32   
2003, 4.52   , 3.42   , 3.67   , 7.93   , 1.73   , 1.59   , 22.15   , 43.82   , 69.50   , 6.39   , 5.81   , 4.01   , 3.96   , 4.34   
2004, 4.31   , 4.10   , 3.77   , 7.72   , 1.60   , 1.86   , 24.32   , 43.79   , 67.40   , 7.83   , 7.00   , 4.08   , 3.71   , 4.45   
2005, 5.32   , 5.37   , 3.58   , 8.00   , 1.74   , 1.79   , 25.57   , 44.09   , 67.68   , 7.00   , 5.70   , 3.95   , 3.21   , 4.79   
2006, 4.45   , 5.01   , 7.50   , 9.80   , 1.92   , 0.81   , 42.36   ,,, 8.31   , 7.80   , 3.92   , 5.38   , 4.49   
2007, 4.32   , 5.06   ,, 9.03   , 1.80   , 1.61   ,,, 65.00   , 7.27   , 7.27   ,, 4.22   , 3.92   
2008, 4.17   , 0.91   , 8.89   ,, 2.90   , 1.31   , 28.00   ,,, 7.17   , 7.26   , 2.40   , 3.44   , 4.16   
2009, 4.83   , 4.62   , 7.80   , 8.74   , 2.43   , 1.00   , 40.00   , 43.25   ,, 7.37   , 7.61   , 3.48   , 4.13   , 4.49   
2010, 4.89   , 3.21   , 7.80   , 8.57   , 3.82   , 2.36   , 29.15   , 50.00   ,, 7.77   , 6.70   , 4.15   , 4.13   , 4.86   
2011, 4.79   , 5.37   , 7.76   , 10.26   , 3.68   , 2.18   ,,, 20.00   , 6.96   , 6.94   , 3.52   , 5.16   , 4.52   
2012, 3.78   , 3.38   , 4.10   , 10.81   , 2.11   , 2.02   , 34.49   ,, 111.64   , 5.96   , 5.01   , 2.68   , 4.21   , 5.04   
2013, 5.18   , 4.45   , 4.20   , 10.59   , 2.16   , 3.12   , 30.63   ,, 108.91   , 6.33   , 5.84   , 4.53   , 5.34   , 4.95   
2014, 4.65   , 5.60   ,, 9.83   , 2.04   , 1.89   , 35.00   , 25.00   ,, 7.16   , 7.58   , 3.16   , 5.36   , 4.23   
2015, 4.80   , 4.95   ,, 11.77   , 2.23   , 1.15   ,, 25.00   ,, 8.14   , 7.48   , 3.94   , 5.20   , 4.79   
2016, 4.80   ,,, 11.83   , 3.11   , 1.20   ,,,, 8.23   , 7.62   , 4.10   , 5.41   , 3.85   
2017


