year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,49,47,44,73,60,30,22,30,42,25,95,41,23,69,17.0,3.0,310
2001,46,46,40,73,60,23,21,25,36,25,90,47,21,65,7.0,3.0,340
2002,46,46,42,84,70,34,23,30,43,25,90,55,24,58,17.0,4.0,450
2003,45,42,42,56,43,26,18,23,31,22,60,34,12,59,18.0,3.0,360
2004,50,45,46,86,55,32,19,28,25,22,97,36,12,70,18.0,4.0,330
2005,46,43,40,81,53,33,21,25,33,23,95,36,12,62,18.0,6.0,495
2006,42,43,40,80,47,30,19,27,30,20,96,30,9,63,13.0,5.0,379
2007,46,44,37,80,57,25,22,30,35,20,46,41,14,56,13.3,3.0,354
2008,50,48,40,84,63,35,26,33,37,20,61,45,15,55,20.7,4.0,352
2009,42,42,36,79,48,28,20,25,35,20,71,37,12,52,29.4,4.0,389
2010,48,45,43,85,55,24,19,24,30,20,80,44,14,54,26.5,1.4,372
2011,45,45,40,100,65,25,22,31,25,20,96,38,13,67,12.3,5.0,403
2012,57,50,49,80,65,27,22,28,25,20,86,41,16,54,20.9,1.1,395
2013,58,50,50,80,57,33,19,25,30,20,80,45,25,59,15.0,1.0,401
2014,60,55,46,105,70,30,18,30,50,20,89,50,30,56,9.7,2.0,353
2015,52,52,44,80,55,27,17,35,27,15,89,32,18,60,25.6,1.4,401
2016,53,54,46,80,52,33,21,23,30,20,53,36,20,56,20.0,1.7,334
2017,53,50,47,80,50,31,22,22,28,14,50,29,17,49,25.0,2.0,344
