year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,triticale,winter-rapeseed,sunflower,soybean,spring-field-peas,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha
2000,40,45,35,115,50,40,28,18,33,25,40,13,60,5.0,10.0
2001,35,40,28,115,50,40,12,12,33,30,40,13,50,6.0,10.0
2002,40,50,38,120,65,40,20,17,25,35,40,14,48,7.0,10.0
2003,30,25,23,100,50,30,13,8,20,25,35,11,54,6.0,10.0
2004,40,40,32,120,50,40,19,8,30,40,37,12,50,7.0,10.0
2005,40,40,30,120,50,40,27,12,20,30,37,12,53,7.0,10.0
2006,30,30,25,100,35,30,25,12,,15,35,10,48,4.0,9.0
2007,35,33,33,120,60,30,20,13,25,29,39,24,43,6.0,8.0
2008,41,38,33,120,60,40,20,13,,21,39,25,46,11.0,8.0
2009,38,39,35,120,60,40,15,21,,20,38,24,47,10.0,8.0
2010,38,39,36,122,60,40,15,13,25,25,46,29,49,10.0,8.0
2011,36,39,35,120,65,40,18,19,25,25,34,22,51,8.5
2012,38,39,30,120,70,40,17,19,24,27,31,21,45,16.5
2013,38,39,34,110,60,40,19,18,31,31,61,39,48,18.1
2014,41,39,30,115,54,38,25,19,30,30,35,23,56,2.2
2015,35,36,28,120,51,36,25,19,30,23,29,19,53,16.0
2016,41,39,41,110,60,39,27,19,25,16,18,12,53,6.6,8.8
2017,37,38,41,130,55,39,21,19,28,16,35,23,43,9.1,10.0
