year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,rice,winter-rapeseed,sunflower,soybean,spring-field-peas,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,42,40,40,75,50,61.8,20,30,30,20,65,76,59,13,14.0,450
2001,30,30,32,90,58,55,20,28,30,20,65,76,50,14,15.0,460
2002,32,32,34,98,50,58,22,30,30,20,59,74,51,16,17.0,439
2003,28,31,30,90,50,58,18,25,30,20,54,69,55,15,17.0,428
2004,32,31,35,90,52,60,25,27,30,20,45,73,55,14,17.0,450
2005,34,30,36,85,32,62,22,28,29,22,40,75,50,14,22.0,490
2006,32,25,25,80,28,57,17,20,20,15,59,55,51,14,23.0,420
2007,33,32,28,90,60,49,18,20,25,30,61,55,52,15,8.0,420
2008,42,32,36,100,65,64,17,23,20,25,64,59,49,29,8.0,419
2009,42,30,27,90,60,62,20,15,25,20,61,56,49,26,8.0,419
2010,42,32,32,115,65,54,20,13,25,20,77,66,52,26,8.0,419
2011,39,30,30,115,70,60,18,18,18,28,62,68,61,22,,432
2012,36,28,29,115,70,60,14,15,25,20,56,53,55,21,,439
2013,40,30,42,105,55,42,18,18,25,20,84,80,51,19,,420
2014,33,30,31,107,55,55,23,16,17,17,67,64,67,11,,368
2015,40,35,38,107,48,55,25,20,25,20,67,63,63,29,,393
2016,39,40,46,110,49,53,24,23,24,20,29,23,58,12,9.6,433
2017,37,37,44,110,54,59,26,18,22,21,61,55,48,16,9.6,371
