year,wheat,rye,winter-barley,winter-oat,maize-for-grain-rainfed,sorghum,rice-paddy,soybean,chickpea,lentils,vetch,vineyards,tomatoe,potatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,2.842,1.073,2.677,1.158,1.724,2.073,4.700,0.667,0.873,0.571,1.000,4.060,14.207,7.526
2001,3.008,2.000,3.186,1.926,2.471,2.070,4.800,1.000,1.358,1.050,1.308,3.368,17.601,12.392
2002,3.012,1.398,3.116,1.522,4.236,2.104,4.310,1.430,1.357,1.040,1.389,3.567,16.845,12.089
2003,2.383,1.210,1.940,1.370,2.800,1.660,4.200,1.115,0.850,1.300,1.481,3.308,27.484,15.131
2004,3.810,1.992,3.590,2.360,5.540,2.100,4.960,1.877,0.880,0.640,1.174,2.714,19.370,18.686
2005,3.157,1.551,2.487,1.640,5.309,2.040,4.480,2.224,0.794,1.112,1.681,2.099,23.445,15.645
2006,3.403,1.715,2.942,1.854,4.533,2.275,4.408,1.557,0.823,1.171,1.147,2.384,30.329,15.776
2007,2.197,1.678,2.247,1.028,4.572,1.111,4.645,0.602,0.321,1.279,1.619,3.130,27.587,13.320
2008,4.167,1.994,3.943,2.191,4.155,1.932,4.962,1.336,1.289,0.999,1.148,3.281,38.610,16.262
2009,3.187,1.895,3.322,1.537,4.707,2.484,5.226,0.966,1.719,0.813,1.000,2.773,34.664,16.551
2010,3.619,1.622,3.397,1.727,6.251,2.431,4.795,2.272,1.137,0.928,1.659,2.784,39.195,18.197
2011,3.920,1.927,3.950,1.976,5.531,1.954,5.056,1.157,1.024,1.110,1.531,3.108,26.722,14.324
2012,3.760,1.742,3.458,1.852,3.680,2.021,5.561,0.790,1.708,1.226,1.680,4.313,27.644,10.152
2013,4.189,1.886,3.691,1.989,6.394,2.679,5.495,1.798,1.527,1.016,1.609,6.487,36.381,14.613
2014,4.217,1.954,3.970,1.806,7.682,2.736,4.904,2.413,1.157,1.005,1.617,4.162,39.844,13.005
2015,4.532,1.778,3.966,1.959,5.409,2.498,5.454,1.169,1.257,1.284,1.396,6.763,37.144,14.963
2016,4.748,2.032,4.316,2.047,5.470,2.345,5.403,1.292,1.284,1.576,3.669,5.775,39.127,15.184
2017,5.358,2.101,4.637,2.401,6.436,2.883,5.609,1.735,1.435,1.324,1.324,5.908,36.280,17.790






















