year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,apple,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,43,42,40,90,75,28,17,30,30,,152,71,46,360,32
2001,42,42,40,88,70,28,20,25,18,,145,71,46,360,36
2002,48,50,50,86,75,30,20,26,18,,115,73,47,360,33
2003,40,36,35,55,34,22,15,15,15,18,57,36,22,325,33
2004,55,50,50,86,55,30,20,26,15,18,120,73,55,350,39
2005,58,54,50,90,60,30,17,25,20,18,116,65,47,350,39
2006,60,53,51,97,59,31,20,26,22,16,110,60,52,340,34
2007,48,41,42,90,59,26,23,26,19,13,134,79,50,522,29
2008,59,55,47,98,62,30,28,28,22,18,106,71,46,413,28
2009,48,46,41,84,55,27,20,25,21,18,92,66,47,474,39
2010,61,45,48,99,65,24,27,30,21,20,98,69,46,543,42
2011,48,44,42,106,75,26,28,28,21,16,114,73,55,,41
2012,65,60,50,109,65,29,25,28,23,17,147,60,43,435,31
2013,50,50,50,84,60,27,19,23,20,15,119,76,55,493,34
2014,51,55,42,106,55,30,24,26,22,15,136,99,70,451,34
2015,50,52,47,98,40,26,22,21,25,15,100,70,51,460,31
2016,59,50,43,104,51,26,27,23,22,14,79,64,41,460,27
2017,61,53,47,111,59,26,27,29,22,15,80,74,53,477,24
