year,winter-soft-wheat,winter-durum--wheat,winter-barley,maize-for-grain-rainfed,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,maize-silage,temporary-grasslands,permanent-grasslands,apple,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,58,54,54,86,65,28,26,29,35,114,62,30,410,53
2001,51,52,47,87,58,31,22,28,36,117,56,32,410,54
2002,58,51,50,80,65,31,23,28,38,112,63,34,410,44
2003,49,42,43,68,34,26,19,20,29,92,46,34,380,38
2004,58,52,50,81,55,28,23,25,26,110,62,42,410,53
2005,54,50,52,86,50,32,21,26,30,105,66,48,429,54
2006,52,48,47,97,56,30,21,28,36,103,64,44,420,47
2007,45,40,38,96,55,27,23,26,28,140,79,53,647,42
2008,57,50,56,100,63,34,26,30,38,101,70,52,442,42
2009,45,43,42,91,49,27,21,27,31,71,65,51,474,52
2010,56,54,49,98,55,29,24,29,35,90,68,50,543,46
2011,48,47,44,105,70,25,26,29,31,136,56,51,,61
2012,63,59,59,103,55,30,23,27,40,133,54,43,435,52
2013,52,49,50,98,58,29,21,26,30,119,80,61,493,36
2014,52,52,47,109,64,30,22,32,40,153,93,74,451,54
2015,57,54,52,96,54,25,16,29,35,78,64,51,460,51
2016,60,59,54,102,82,32,24,23,35,78,66,48,460,64
2017,59,59,53,107,62,28,26,29,30,80,67,55,477,35
