year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,39,43,28,90,50,22,15,30,24,65,40,12,81,16.0,8.0,364
2001,36,41,24,90,50,15,15,25,24,65,37,10,73,9.0,7.0,305
2002,40,48,35,100,47,22,16,35,15,70,34,10,68,20.0,4.4,553
2003,34,46,28,94,31,20,12,26,10,60,21,7,63,23.0,9.3,351
2004,42,45,37,95,54,25,15,25,20,85,39,15,74,17.0,10.0,394
2005,35,40,31,85,61,28,13,30,20,80,17,11,63,18.0,8.2,458
2006,28,30,23,82,57,22,12,25,15,80,28,17,67,20.2,7.9,371
2007,43,36,36,93,60,25,25,22,17,80,47,24,60,22.4,3.0,380
2008,34,30,27,72,58,25,25,20,18,80,47,25,58,34.9,7.0,399
2009,34,30,32,77,53,17,18,40,17,80,35,20,55,20.1,7.0,400
2010,38,41,32,80,50,17,12,28,20,73,53,29,57,29.4,5.0,470
2011,38,40,31,95,55,23,20,25,20,78,51,26,73,10.6,4.2,500
2012,38,38,21,90,55,25,15,21,20,65,47,25,59,24.7,6.5,486
2013,45,40,41,70,52,28,18,28,20,78,59,31,71,16.1,3.4,440
2014,22,27,17,80,35,12,20,20,15,78,39,22,58,9.0,4.2,477
2015,37,38,33,70,45,20,17,17,15,72,47,27,68,17.4,5.2,514
2016,28,35,22,75,40,20,17,15,14,53,47,24,57,8.7,5.2,520
2017,47,37,43,75,35,21,17,24,15,45,35,18,50,13.2,8.8,614
