year,winter-soft-wheat,winter-barley,triticale,potatoes,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha
2000,38,40,40,228,70,25,35,10.0
2001,35,37,35,228,60,22,29,9.0
2002,40,40,40,227,60,22,22,9.0
2003,30,25,20,218,45,22,25,16.0
2004,40,40,40,217,60,22,23,11.0
2005,40,40,40,217,60,22,23,9.0
2006,40,40,40,220,54,25,26,4.0
2007,35,,30,217,61,24,19,12.0
2008,41,38,38,231,60,25,22,14.0
2009,41,38,0,245,60,24,22,12.0
2010,0,47,40,255,50,20,23,12.0
2011,38,39,40,255,51,21,28,10.2
2012,40,,40,255,49,20,25,27.2
2013,38,,40,258,63,26,15,21.0
2014,40,38,40,264,49,19,33,1.5
2015,40,38,40,248,41,16,27,8.4
2016,42,45,40,267,58,23,31,3.5
2017,27,40,40,294,33,13,25,4.8
