year,wheat,barley,rye,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,soybean,beans-dry,almond-rainfed,olive-rainfed,apple,grapes,tomatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,4.75,3.24,2.64,,4.07,4.00,2.28,1.38,1.33,6.62,1.42,15.29,6.43,32.56
2001,4.40,3.13,3.62,,5.67,3.74,2.18,2.21,2.31,6.29,1.70,4.64,6.72,33.51
2002,4.59,3.38,2.84,,6.38,3.70,1.96,2.70,2.72,6.53,2.87,8.23,6.81,32.71
2003,3.22,2.46,2.02,,4.20,3.44,1.84,1.66,1.84,3.99,0.84,7.45,6.63,25.61
2004,4.93,3.52,3.13,,6.31,3.29,2.20,2.15,0.73,2.88,1.66,12.01,6.23,32.95
2005,4.11,3.23,2.56,,6.92,3.00,2.05,2.48,0.93,1.80,2.96,10.19,6.10,28.42
2006,4.58,3.64,2.73,4.58,6.53,2.67,2.38,2.77,0.64,1.29,2.06,9.82,5.83,35.81
2007,4.64,3.82,2.52,3.53,4.94,3.00,3.01,1.95,0.56,1.22,2.41,10.51,6.10,33.46
2008,5.48,4.26,2.98,3.90,7.98,3.50,2.81,3.01,1.52,1.43,2.40,8.95,5.49,25.15
2009,5.19,4.09,2.87,4.08,7.35,2.48,2.80,2.60,1.26,3.28,2.13,11.35,6.00,32.00
2010,4.04,3.28,2.42,3.09,6.97,2.56,2.02,2.72,1.29,0.69,2.22,13.51,6.35,44.65
2011,5.22,4.01,3.39,3.53,5.68,3.20,2.82,2.50,0.86,0.72,1.83,15.21,6.29,39.64
2012,5.35,4.14,2.87,4.17,4.34,3.57,2.67,1.79,0.60,0.62,2.81,6.26,6.41,41.16
2013,4.88,3.74,2.90,3.40,6.50,5.02,2.66,2.36,1.35,0.34,1.84,22.64,6.94,44.64
2014,4.16,3.80,2.04,3.64,8.10,,3.08,2.79,0.90,0.24,0.46,16.27,5.24,60.73
2015,5.38,4.43,3.07,3.91,6.47,4.00,2.58,2.21,0.78,0.86,1.48,17.68,6.03,62.27
2016,5.65,4.66,3.62,4.12,8.55,3.55,3.07,3.10,0.93,0.54,1.71,7.60,5.28,52.76
2017,5.81,4.83,3.32,3.97,6.31,3.18,2.79,2.44,0.87,0.13,1.55,11.69,5.31,59.31
