year,sugar-beet,lucerne,maize-silage,maize-for-grain-rainfed,potatoes,rye,tomatoe,sunflower,vineyards,Wheat-rainfed,Barley-rainfed,Oat-rainfed,Rapeseed-rainfed,Fodder-vetch-rainfed
,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha,tons/ha
2000,72.94,44.00,45.00,3.15,21.00,3.77,28.95,2.50,4.69,5.25,5.50,4.50,2.50,25.00
2001,71.27,41.00,43.50,3.22,22.50,3.50,29.85,2.13,4.74,4.80,4.60,4.00,2.43,25.00
2002,75.63,43.00,46.00,3.50,25.00,4.50,30.65,2.25,4.21,5.90,5.65,4.75,2.50,25.00
2003,73.52,36.00,30.00,2.50,18.50,3.50,26.03,1.50,5.06,4.80,4.25,3.75,2.50,22.50
2004,72.32,44.00,45.00,3.42,25.00,3.70,30.75,2.51,5.46,4.55,4.00,4.40,,25.00
2005,80.27,37.08,33.75,2.50,20.00,4.00,27.19,1.25,6.14,5.40,4.80,5.00,2.50,23.00
2006,80.83,39.08,43.20,2.79,22.00,4.38,28.50,1.99,6.11,5.15,4.90,4.50,2.74,23.70
2007,76.00,42.00,44.75,3.20,21.56,4.74,23.66,2.00,5.47,5.00,5.25,5.25,1.96,20.24
2008,78.50,44.10,45.65,3.04,21.43,3.75,21.76,1.25,4.76,4.60,4.85,5.50,1.96,22.50
2009,88.84,46.00,43.10,3.07,22.00,3.80,25.28,1.50,6.52,4.80,4.50,4.50,2.60,23.00
2010,86.35,43.00,41.07,3.16,23.12,4.39,23.50,1.90,6.28,5.95,5.50,5.85,3.20,21.55
2011,90.00,44.00,43.00,3.33,26.08,4.49,25.52,2.26,8.82,6.20,5.75,5.50,3.80,25.00
2012,88.96,39.60,36.55,3.10,22.17,4.20,24.00,1.70,7.23,6.20,5.50,5.75,3.50,27.04
2013,73.00,36.00,34.50,3.00,23.00,4.20,21.00,2.00,4.18,5.00,4.20,4.70,2.80,26.00
2014,100.00,45.25,43.57,3.17,22.50,3.70,23.81,2.80,6.36,5.75,4.70,4.20,3.25,27.20
2015,92.50,38.18,55.00,4.11,26.11,3.50,24.65,2.20,7.39,5.20,4.20,3.80,2.80,24.48
2016,94.50,39.97,34.89,2.41,34.19,4.50,24.59,2.75,7.35,6.45,6.35,6.00,3.50,22.89
2017

