year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,seed-maize,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,apple,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,50,50,47,87,35,60,30,25,30,50,30,320,42,145,106,79
2001,46,45,44,79,36,67,25,20,25,50,40,280,48,131,85,67
2002,53,51,45,90,34,50,27,22,26,35,30,330,37,143,94,73
2003,48,46,45,60,27,40,23,15,19,30,15,300,44,100,73,51
2004,55,50,48,82,33,55,30,23,25,30,28,320,57,130,83,52
2005,53,50,48,71,33,50,30,20,22,23,20,320,44,128,80,52
2006,54,50,49,85,38,60,27,25,24,30,20,460,41,117,84,58
2007,48,46,47,89,38,63,25,25,24,20,18,493,36,130,103,65
2008,52,48,46,91,35,63,28,28,23,20,20,466,33,149,100,60
2009,42,43,46,86,35,64,30,24,24,22,20,486,37,144,94,53
2010,58,53,54,84,38,64,25,24,25,23,20,467,44,140,79,48
2011,58,50,50,103,36,63,32,28,28,20,19,,43,168,104,66
2012,68,62,55,82,38,65,28,23,26,23,20,386,43,130,68,43
2013,50,52,50,72,42,40,25,21,24,23,24,500,29,112,80,50
2014,52,57,50,102,38,52,27,30,30,24,24,399,36,161,117,73
2015,58,61,52,92,38,60,25,28,33,25,25,579,41,139,78,51
2016,55,44,40,92,38,50,26,23,25,24,23,443,47,135,70,46
2017,62,56,42,114,39,52,29,27,30,22,23,515,41,150,90,56
